+--------------------------------------+-----------+-----------+-------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| id                                   | estRows   | task      | access object                                                                                                                 | operator info                                                                                                                                                                                                                                                                          |
+--------------------------------------+-----------+-----------+-------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Projection_171                       | 11.30     | root      |                                                                                                                               | Column#136, gharchive_dev.github_events.actor_login, Column#115, Column#122, Column#123, Column#134, Column#135                                                                                                                                                                        |
| └─Limit_178                          | 11.30     | root      |                                                                                                                               | offset:0, count:50                                                                                                                                                                                                                                                                     |
|   └─Window_193                       | 11.30     | root      |                                                                                                                               | row_number()->Column#136 over(order by Column#115 desc rows between current row and current row)                                                                                                                                                                                       |
|     └─Sort_192                       | 11.30     | root      |                                                                                                                               | Column#115:desc                                                                                                                                                                                                                                                                        |
|       └─Projection_181               | 11.30     | root      |                                                                                                                               | gharchive_dev.github_events.actor_login, Column#115, coalesce(Column#117, 0)->Column#122, coalesce(minus(Column#115, Column#117), 0)->Column#123, div(cast(Column#115, decimal(20,0) BINARY), 21)->Column#134, case(isnull(gharchive_dev.github_events.actor_login), 1, 0)->Column#135 |
|         └─HashJoin_183               | 11.30     | root      |                                                                                                                               | left outer join, equal:[eq(gharchive_dev.github_events.actor_login, gharchive_dev.github_events.actor_login)]                                                                                                                                                                          |
|           ├─HashJoin_184(Build)      | 11.30     | root      |                                                                                                                               | left outer join, equal:[eq(gharchive_dev.github_events.actor_login, gharchive_dev.github_events.actor_login)]                                                                                                                                                                          |
|           │ ├─Selection_187(Build)   | 0.80      | root      |                                                                                                                               | not(isnull(gharchive_dev.github_events.actor_login))                                                                                                                                                                                                                                   |
|           │ │ └─CTEFullScan_188      | 1.00      | root      | CTE:l2m                                                                                                                       | data:CTE_2                                                                                                                                                                                                                                                                             |
|           │ └─CTEFullScan_186(Probe) | 11.30     | root      | CTE:lm                                                                                                                        | data:CTE_1                                                                                                                                                                                                                                                                             |
|           └─Selection_190(Probe)     | 841.23    | root      |                                                                                                                               | not(isnull(gharchive_dev.github_events.actor_login))                                                                                                                                                                                                                                   |
|             └─CTEFullScan_191        | 1051.54   | root      | CTE:fc                                                                                                                        | data:CTE_0                                                                                                                                                                                                                                                                             |
| CTE_2                                | 1.00      | root      |                                                                                                                               | Non-Recursive CTE                                                                                                                                                                                                                                                                      |
| └─Sort_107(Seed Part)                | 1.00      | root      |                                                                                                                               | Column#113:desc                                                                                                                                                                                                                                                                        |
|   └─Projection_109                   | 1.00      | root      |                                                                                                                               | gharchive_dev.github_events.actor_login, Column#113                                                                                                                                                                                                                                    |
|     └─HashAgg_110                    | 1.00      | root      |                                                                                                                               | group by:gharchive_dev.github_events.actor_login, funcs:count(1)->Column#113, funcs:firstrow(gharchive_dev.github_events.actor_login)->gharchive_dev.github_events.actor_login                                                                                                         |
|       └─Selection_111                | 0.00      | root      |                                                                                                                               | not(isnull(gharchive_dev.github_events.actor_login))                                                                                                                                                                                                                                   |
|         └─TableDual_112              | 0.00      | root      |                                                                                                                               | rows:0                                                                                                                                                                                                                                                                                 |
| CTE_1                                | 11.30     | root      |                                                                                                                               | Non-Recursive CTE                                                                                                                                                                                                                                                                      |
| └─Sort_37(Seed Part)                 | 11.30     | root      |                                                                                                                               | Column#75:desc                                                                                                                                                                                                                                                                         |
|   └─Projection_39                    | 11.30     | root      |                                                                                                                               | gharchive_dev.github_events.actor_login, Column#75                                                                                                                                                                                                                                     |
|     └─HashAgg_42                     | 11.30     | root      |                                                                                                                               | group by:gharchive_dev.github_events.actor_login, funcs:count(1)->Column#75, funcs:firstrow(gharchive_dev.github_events.actor_login)->gharchive_dev.github_events.actor_login                                                                                                          |
|       └─HashJoin_51                  | 1070.99   | root      |                                                                                                                               | CARTESIAN anti semi join, other cond:eq(gharchive_dev.github_events.actor_login, gharchive_dev.blacklist_users.login)                                                                                                                                                                  |
|         ├─IndexReader_70(Build)      | 1.00      | root      |                                                                                                                               | index:IndexFullScan_69                                                                                                                                                                                                                                                                 |
|         │ └─IndexFullScan_69         | 1.00      | cop[tikv] | table:bu, index:blacklist_users_login_uindex(login)                                                                           | keep order:false                                                                                                                                                                                                                                                                       |
|         └─IndexReader_64(Probe)      | 1338.74   | root      | partition:push_event                                                                                                          | index:Selection_63                                                                                                                                                                                                                                                                     |
|           └─Selection_63             | 1338.74   | cop[tikv] |                                                                                                                               | not(like(gharchive_dev.github_events.actor_login, "%[bot]", 92)), not(like(gharchive_dev.github_events.actor_login, "%bot", 92))                                                                                                                                                       |
|             └─IndexRangeScan_62      | 1673.43   | cop[tikv] | table:ge, index:index_github_events_on_repo_id_type_action_month_actor_login(repo_id, type, action, event_month, actor_login) | range:[41986369 "PushEvent" NULL 2022-07-01,41986369 "PushEvent" NULL 2022-07-01], keep order:false                                                                                                                                                                                    |
| CTE_0                                | 1051.54   | root      |                                                                                                                               | Non-Recursive CTE                                                                                                                                                                                                                                                                      |
| └─HashAgg_117(Seed Part)             | 1051.54   | root      |                                                                                                                               | group by:gharchive_dev.github_events.actor_login, funcs:firstrow(gharchive_dev.github_events.actor_login)->gharchive_dev.github_events.actor_login                                                                                                                                     |
|   └─HashJoin_126                     | 99702.83  | root      |                                                                                                                               | CARTESIAN anti semi join, other cond:eq(gharchive_dev.github_events.actor_login, gharchive_dev.blacklist_users.login)                                                                                                                                                                  |
|     ├─IndexReader_150(Build)         | 1.00      | root      |                                                                                                                               | index:IndexFullScan_149                                                                                                                                                                                                                                                                |
|     │ └─IndexFullScan_149            | 1.00      | cop[tikv] | table:bu, index:blacklist_users_login_uindex(login)                                                                           | keep order:false                                                                                                                                                                                                                                                                       |
|     └─IndexReader_144(Probe)         | 124628.54 | root      | partition:push_event                                                                                                          | index:Selection_143                                                                                                                                                                                                                                                                    |
|       └─Selection_143                | 124628.54 | cop[tikv] |                                                                                                                               | not(isnull(gharchive_dev.github_events.actor_login)), not(like(gharchive_dev.github_events.actor_login, "%[bot]", 92)), not(like(gharchive_dev.github_events.actor_login, "%bot", 92))                                                                                                 |
|         └─IndexRangeScan_142         | 155785.67 | cop[tikv] | table:ge, index:index_github_events_on_repo_id_type_action_month_actor_login(repo_id, type, action, event_month, actor_login) | range:[41986369 "PushEvent" NULL -inf,41986369 "PushEvent" NULL 2022-07-01), keep order:false                                                                                                                                                                                          |
+--------------------------------------+-----------+-----------+-------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
