+------------------------------------+---------+-----------+-------------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| id                                 | estRows | task      | access object                                                                                                                 | operator info                                                                                                                                                                                                                                                          |
+------------------------------------+---------+-----------+-------------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Projection_160                     | 1.00    | root      |                                                                                                                               | gharchive_dev.github_events.actor_id, Column#80, Column#107, Column#81, Column#89, Column#90, Column#106                                                                                                                                                               |
| └─Limit_167                        | 1.00    | root      |                                                                                                                               | offset:0, count:50                                                                                                                                                                                                                                                     |
|   └─Window_178                     | 1.00    | root      |                                                                                                                               | row_number()->Column#107 over(order by Column#81 desc rows between current row and current row)                                                                                                                                                                        |
|     └─Sort_177                     | 1.00    | root      |                                                                                                                               | Column#81:desc                                                                                                                                                                                                                                                         |
|       └─Projection_170             | 1.00    | root      |                                                                                                                               | gharchive_dev.github_events.actor_id, Column#80, Column#81, coalesce(Column#84, 0)->Column#89, coalesce(minus(Column#81, Column#84), 0)->Column#90, div(cast(Column#81, decimal(20,0) BINARY), 1168)->Column#106                                                       |
|         └─HashJoin_171             | 1.00    | root      |                                                                                                                               | left outer join, equal:[eq(gharchive_dev.github_events.actor_id, gharchive_dev.github_events.actor_id)]                                                                                                                                                                |
|           ├─Selection_174(Build)   | 0.80    | root      |                                                                                                                               | not(isnull(gharchive_dev.github_events.actor_id))                                                                                                                                                                                                                      |
|           │ └─CTEFullScan_175      | 1.00    | root      | CTE:l2m                                                                                                                       | data:CTE_1                                                                                                                                                                                                                                                             |
|           └─CTEFullScan_173(Probe) | 1.00    | root      | CTE:lm                                                                                                                        | data:CTE_0                                                                                                                                                                                                                                                             |
| CTE_1                              | 1.00    | root      |                                                                                                                               | Non-Recursive CTE                                                                                                                                                                                                                                                      |
| └─Projection_94(Seed Part)         | 1.00    | root      |                                                                                                                               | gharchive_dev.github_events.actor_id, any_value(gharchive_dev.github_events.actor_login)->Column#78, Column#77                                                                                                                                                         |
|   └─HashAgg_97                     | 1.00    | root      |                                                                                                                               | group by:gharchive_dev.github_events.actor_id, funcs:count(1)->Column#77, funcs:firstrow(gharchive_dev.github_events.actor_id)->gharchive_dev.github_events.actor_id, funcs:firstrow(gharchive_dev.github_events.actor_login)->gharchive_dev.github_events.actor_login |
|     └─HashJoin_106                 | 8.02    | root      |                                                                                                                               | CARTESIAN anti semi join, other cond:eq(gharchive_dev.github_events.actor_login, gharchive_dev.blacklist_users.login)                                                                                                                                                  |
|       ├─IndexReader_140(Build)     | 1.00    | root      |                                                                                                                               | index:IndexFullScan_139                                                                                                                                                                                                                                                |
|       │ └─IndexFullScan_139        | 1.00    | cop[tikv] | table:bu, index:blacklist_users_login_uindex(login)                                                                           | keep order:false                                                                                                                                                                                                                                                       |
|       └─IndexLookUp_124(Probe)     | 10.02   | root      | partition:pull_request_review_comment_event                                                                                   |                                                                                                                                                                                                                                                                        |
|         ├─Selection_122(Build)     | 10.02   | cop[tikv] |                                                                                                                               | not(like(gharchive_dev.github_events.actor_login, "%[bot]", 92)), not(like(gharchive_dev.github_events.actor_login, "%bot", 92))                                                                                                                                       |
|         │ └─IndexRangeScan_120     | 12.52   | cop[tikv] | table:ge, index:index_github_events_on_repo_id_type_action_month_actor_login(repo_id, type, action, event_month, actor_login) | range:[41986369 "PullRequestReviewCommentEvent" "created" 2022-06-01,41986369 "PullRequestReviewCommentEvent" "created" 2022-06-01], keep order:false                                                                                                                  |
|         └─Selection_123(Probe)     | 10.02   | cop[tikv] |                                                                                                                               | not(isnull(gharchive_dev.github_events.actor_id))                                                                                                                                                                                                                      |
|           └─TableRowIDScan_121     | 10.02   | cop[tikv] | table:ge                                                                                                                      | keep order:false                                                                                                                                                                                                                                                       |
| CTE_0                              | 1.00    | root      |                                                                                                                               | Non-Recursive CTE                                                                                                                                                                                                                                                      |
| └─Projection_25(Seed Part)         | 1.00    | root      |                                                                                                                               | gharchive_dev.github_events.actor_id, any_value(gharchive_dev.github_events.actor_login)->Column#39, Column#38                                                                                                                                                         |
|   └─HashAgg_28                     | 1.00    | root      |                                                                                                                               | group by:gharchive_dev.github_events.actor_id, funcs:count(1)->Column#38, funcs:firstrow(gharchive_dev.github_events.actor_id)->gharchive_dev.github_events.actor_id, funcs:firstrow(gharchive_dev.github_events.actor_login)->gharchive_dev.github_events.actor_login |
|     └─HashJoin_37                  | 4.34    | root      |                                                                                                                               | CARTESIAN anti semi join, other cond:eq(gharchive_dev.github_events.actor_login, gharchive_dev.blacklist_users.login)                                                                                                                                                  |
