+----------------------------------------+---------+-----------+-------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| id                                     | estRows | task      | access object                                                                                                                 | operator info                                                                                                                                                                                                |
+----------------------------------------+---------+-----------+-------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Projection_148                         | 1.00    | root      |                                                                                                                               | Column#90, gharchive_dev.github_events.actor_login, Column#82, Column#87, Column#88, Column#89                                                                                                               |
| └─Limit_155                            | 1.00    | root      |                                                                                                                               | offset:0, count:50                                                                                                                                                                                           |
|   └─Window_172                         | 1.00    | root      |                                                                                                                               | row_number()->Column#90 over(order by Column#82 desc rows between current row and current row)                                                                                                               |
|     └─Sort_171                         | 1.00    | root      |                                                                                                                               | Column#82:desc                                                                                                                                                                                               |
|       └─Projection_158                 | 1.00    | root      |                                                                                                                               | gharchive_dev.github_events.actor_login, Column#82, coalesce(Column#85, 0)->Column#87, coalesce(minus(Column#82, Column#85), 0)->Column#88, div(cast(Column#82, decimal(20,0) BINARY), Column#83)->Column#89 |
|         └─Projection_160               | 1.00    | root      |                                                                                                                               | gharchive_dev.github_events.actor_login, Column#82, Column#83, Column#85                                                                                                                                     |
|           └─HashJoin_161               | 1.00    | root      |                                                                                                                               | CARTESIAN inner join                                                                                                                                                                                         |
|             ├─CTEFullScan_169(Build)   | 1.00    | root      | CTE:s                                                                                                                         | data:CTE_2                                                                                                                                                                                                   |
|             └─HashJoin_163(Probe)      | 1.00    | root      |                                                                                                                               | left outer join, equal:[eq(gharchive_dev.github_events.actor_login, gharchive_dev.github_events.actor_login)]                                                                                                |
|               ├─Selection_166(Build)   | 0.80    | root      |                                                                                                                               | not(isnull(gharchive_dev.github_events.actor_login))                                                                                                                                                         |
|               │ └─CTEFullScan_167      | 1.00    | root      | CTE:l2m                                                                                                                       | data:CTE_1                                                                                                                                                                                                   |
|               └─CTEFullScan_165(Probe) | 1.00    | root      | CTE:lm                                                                                                                        | data:CTE_0                                                                                                                                                                                                   |
| CTE_2                                  | 1.00    | root      |                                                                                                                               | Non-Recursive CTE                                                                                                                                                                                            |
| └─Projection_86(Seed Part)             | 1.00    | root      |                                                                                                                               | coalesce(Column#79, 0)->Column#80                                                                                                                                                                            |
|   └─StreamAgg_88                       | 1.00    | root      |                                                                                                                               | funcs:sum(Column#96)->Column#79                                                                                                                                                                              |
|     └─Projection_91                    | 1.00    | root      |                                                                                                                               | cast(Column#78, decimal(20,0) BINARY)->Column#96                                                                                                                                                             |
|       └─CTEFullScan_90                 | 1.00    | root      | CTE:issue_contribution_last_month                                                                                             | data:CTE_0                                                                                                                                                                                                   |
| CTE_1                                  | 1.00    | root      |                                                                                                                               | Non-Recursive CTE                                                                                                                                                                                            |
| └─Projection_93(Seed Part)             | 1.00    | root      |                                                                                                                               | gharchive_dev.github_events.actor_login, Column#76                                                                                                                                                           |
|   └─HashAgg_96                         | 1.00    | root      |                                                                                                                               | group by:gharchive_dev.github_events.actor_login, funcs:count(1)->Column#76, funcs:firstrow(gharchive_dev.github_events.actor_login)->gharchive_dev.github_events.actor_login                                |
|     └─HashJoin_107                     | 31.39   | root      |                                                                                                                               | CARTESIAN anti semi join, other cond:eq(gharchive_dev.github_events.actor_login, gharchive_dev.blacklist_users.login)                                                                                        |
|       ├─IndexReader_126(Build)         | 1.00    | root      |                                                                                                                               | index:IndexFullScan_125                                                                                                                                                                                      |
|       │ └─IndexFullScan_125            | 1.00    | cop[tikv] | table:bu, index:blacklist_users_login_uindex(login)                                                                           | keep order:false                                                                                                                                                                                             |
|       └─IndexReader_120(Probe)         | 39.39   | root      | partition:issue_comment_event                                                                                                 | index:Selection_119                                                                                                                                                                                          |
|         └─Selection_119                | 39.39   | cop[tikv] |                                                                                                                               | not(like(gharchive_dev.github_events.actor_login, "%[bot]", 92)), not(like(gharchive_dev.github_events.actor_login, "%bot", 92))                                                                             |
|           └─IndexRangeScan_118         | 49.24   | cop[tikv] | table:ge, index:index_github_events_on_repo_id_type_action_month_actor_login(repo_id, type, action, event_month, actor_login) | range:[41986369 "IssueCommentEvent" "created" 2022-06-01 -inf,41986369 "IssueCommentEvent" "created" 2022-06-01 +inf], keep order:false                                                                      |
| CTE_0                                  | 1.00    | root      |                                                                                                                               | Non-Recursive CTE                                                                                                                                                                                            |
| └─Projection_33(Seed Part)             | 1.00    | root      |                                                                                                                               | gharchive_dev.github_events.actor_login, Column#38                                                                                                                                                           |
|   └─HashAgg_36                         | 1.00    | root      |                                                                                                                               | group by:gharchive_dev.github_events.actor_login, funcs:count(1)->Column#38, funcs:firstrow(gharchive_dev.github_events.actor_login)->gharchive_dev.github_events.actor_login                                |
|     └─HashJoin_47                      | 16.58   | root      |                                                                                                                               | CARTESIAN anti semi join, other cond:eq(gharchive_dev.github_events.actor_login, gharchive_dev.blacklist_users.login)                                                                                        |
|       ├─IndexReader_66(Build)          | 1.00    | root      |                                                                                                                               | index:IndexFullScan_65                                                                                                                                                                                       |
|       │ └─IndexFullScan_65             | 1.00    | cop[tikv] | table:bu, index:blacklist_users_login_uindex(login)                                                                           | keep order:false                                                                                                                                                                                             |
|       └─IndexReader_60(Probe)          | 20.73   | root      | partition:issue_comment_event                                                                                                 | index:Selection_59                                                                                                                                                                                           |
|         └─Selection_59                 | 20.73   | cop[tikv] |                                                                                                                               | not(like(gharchive_dev.github_events.actor_login, "%[bot]", 92)), not(like(gharchive_dev.github_events.actor_login, "%bot", 92))                                                                             |
|           └─IndexRangeScan_58          | 25.91   | cop[tikv] | table:ge, index:index_github_events_on_repo_id_type_action_month_actor_login(repo_id, type, action, event_month, actor_login) | range:[41986369 "IssueCommentEvent" "created" 2022-07-01,41986369 "IssueCommentEvent" "created" 2022-07-01], keep order:false                                                                                |
+----------------------------------------+---------+-----------+-------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
