+---------------------------------------------------------+---------+-----------+-------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| id                                                      | estRows | task      | access object                                                                                                                                               | operator info                                                                                                                                                                                                                                                                                                                                                      |
+---------------------------------------------------------+---------+-----------+-------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Projection_81                                           | 1715.93 | root      |                                                                                                                                                             | Column#36, Column#64, Column#62, Column#60, Column#58, Column#56, Column#52                                                                                                                                                                                                                                                                                        |
| └─Selection_82                                          | 1715.93 | root      |                                                                                                                                                             | eq(Column#51, 1)                                                                                                                                                                                                                                                                                                                                                   |
|   └─Window_83                                           | 2144.91 | root      |                                                                                                                                                             | sum(cast(Column#63, decimal(20,0) BINARY))->Column#64 over(partition by Column#36)                                                                                                                                                                                                                                                                                 |
|     └─Projection_31                                     | 2144.91 | root      |                                                                                                                                                             | Column#36, Column#51, Column#52, Column#56, Column#58, Column#60, Column#62, case(lt(plus(gharchive_dev.github_events.additions, gharchive_dev.github_events.deletions), 10), 1, 0)->Column#63                                                                                                                                                                     |
|       └─Window_33                                       | 2144.91 | root      |                                                                                                                                                             | sum(cast(Column#61, decimal(20,0) BINARY))->Column#62 over(partition by Column#36)                                                                                                                                                                                                                                                                                 |
|         └─Projection_34                                 | 2144.91 | root      |                                                                                                                                                             | Column#36, gharchive_dev.github_events.additions, gharchive_dev.github_events.deletions, Column#51, Column#52, Column#56, Column#58, Column#60, case(and(ge(plus(gharchive_dev.github_events.additions, gharchive_dev.github_events.deletions), 10), lt(plus(gharchive_dev.github_events.additions, gharchive_dev.github_events.deletions), 30)), 1, 0)->Column#61 |
|           └─Window_36                                   | 2144.91 | root      |                                                                                                                                                             | sum(cast(Column#59, decimal(20,0) BINARY))->Column#60 over(partition by Column#36)                                                                                                                                                                                                                                                                                 |
|             └─Projection_37                             | 2144.91 | root      |                                                                                                                                                             | Column#36, gharchive_dev.github_events.additions, gharchive_dev.github_events.deletions, Column#51, Column#52, Column#56, Column#58, case(and(ge(plus(gharchive_dev.github_events.additions, gharchive_dev.github_events.deletions), 30), lt(plus(gharchive_dev.github_events.additions, gharchive_dev.github_events.deletions), 100)), 1, 0)->Column#59           |
|               └─Window_39                               | 2144.91 | root      |                                                                                                                                                             | sum(cast(Column#57, decimal(20,0) BINARY))->Column#58 over(partition by Column#36)                                                                                                                                                                                                                                                                                 |
|                 └─Projection_40                         | 2144.91 | root      |                                                                                                                                                             | Column#36, gharchive_dev.github_events.additions, gharchive_dev.github_events.deletions, Column#51, Column#52, Column#56, case(and(ge(plus(gharchive_dev.github_events.additions, gharchive_dev.github_events.deletions), 100), lt(plus(gharchive_dev.github_events.additions, gharchive_dev.github_events.deletions), 500)), 1, 0)->Column#57                     |
|                   └─Window_42                           | 2144.91 | root      |                                                                                                                                                             | sum(cast(Column#55, decimal(20,0) BINARY))->Column#56 over(partition by Column#36)                                                                                                                                                                                                                                                                                 |
|                     └─Projection_43                     | 2144.91 | root      |                                                                                                                                                             | Column#36, gharchive_dev.github_events.additions, gharchive_dev.github_events.deletions, Column#51, Column#52, case(and(ge(plus(gharchive_dev.github_events.additions, gharchive_dev.github_events.deletions), 500), lt(plus(gharchive_dev.github_events.additions, gharchive_dev.github_events.deletions), 1000)), 1, 0)->Column#55                               |
|                       └─Window_45                       | 2144.91 | root      |                                                                                                                                                             | sum(cast(Column#53, decimal(20,0) BINARY))->Column#54 over(partition by Column#36)                                                                                                                                                                                                                                                                                 |
|                         └─Projection_46                 | 2144.91 | root      |                                                                                                                                                             | Column#36, gharchive_dev.github_events.additions, gharchive_dev.github_events.deletions, Column#51, Column#52, case(ge(plus(gharchive_dev.github_events.additions, gharchive_dev.github_events.deletions), 1000), 1, 0)->Column#53                                                                                                                                 |
|                           └─Window_48                   | 2144.91 | root      |                                                                                                                                                             | count(1)->Column#52 over(partition by Column#36)                                                                                                                                                                                                                                                                                                                   |
|                             └─Window_49                 | 2144.91 | root      |                                                                                                                                                             | row_number()->Column#51 over(partition by Column#36 rows between current row and current row)                                                                                                                                                                                                                                                                      |
|                               └─Sort_58                 | 2144.91 | root      |                                                                                                                                                             | Column#36                                                                                                                                                                                                                                                                                                                                                          |
|                                 └─Projection_52         | 2144.91 | root      |                                                                                                                                                             | date_format(gharchive_dev.github_events.created_at, %Y-%m-01)->Column#36, gharchive_dev.github_events.additions, gharchive_dev.github_events.deletions                                                                                                                                                                                                             |
|                                   └─IndexReader_57      | 2681.14 | root      | partition:pull_request_event                                                                                                                                | index:IndexRangeScan_56                                                                                                                                                                                                                                                                                                                                            |
|                                     └─IndexRangeScan_56 | 2681.14 | cop[tikv] | table:github_events, index:index_ge_on_repo_id_type_action_pr_merged_created_at_add_del(repo_id, type, action, pr_merged, created_at, additions, deletions) | range:[41986369 "PullRequestEvent" "opened",41986369 "PullRequestEvent" "opened"], keep order:false                                                                                                                                                                                                                                                                |
+---------------------------------------------------------+---------+-----------+-------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
