+------------------------------------+----------+-----------+-------------------------------------------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| id                                 | estRows  | task      | access object                                                                                                                             | operator info                                                                                                                                                                                                     |
+------------------------------------+----------+-----------+-------------------------------------------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Sort_115                           | 1.80     | root      |                                                                                                                                           | Column#62                                                                                                                                                                                                         |
| └─Projection_117                   | 1.80     | root      |                                                                                                                                           | Column#62, Column#64, ifnull(Column#65, 0)->Column#71, ifnull(Column#69, 0)->Column#72, Column#67, ifnull(Column#68, 0)->Column#73, ifnull(Column#70, 0)->Column#74                                               |
|   └─Projection_118                 | 1.80     | root      |                                                                                                                                           | Column#62, Column#64, Column#65, Column#67, Column#68, Column#69, Column#70                                                                                                                                       |
|     └─HashJoin_120                 | 1.80     | root      |                                                                                                                                           | CARTESIAN inner join                                                                                                                                                                                              |
|       ├─HashJoin_121(Build)        | 1.00     | root      |                                                                                                                                           | CARTESIAN inner join                                                                                                                                                                                              |
|       │ ├─CTEFullScan_124(Build)   | 1.00     | root      | CTE:lpt                                                                                                                                   | data:CTE_5                                                                                                                                                                                                        |
|       │ └─CTEFullScan_123(Probe)   | 1.00     | root      | CTE:cpt                                                                                                                                   | data:CTE_4                                                                                                                                                                                                        |
|       └─HashJoin_128(Probe)        | 1.80     | root      |                                                                                                                                           | left outer join, equal:[eq(Column#62, Column#66)]                                                                                                                                                                 |
|         ├─HashJoin_130(Build)      | 1.80     | root      |                                                                                                                                           | left outer join, equal:[eq(Column#62, Column#63)]                                                                                                                                                                 |
|         │ ├─CTEFullScan_134(Build) | 1.80     | root      | CTE:s                                                                                                                                     | data:CTE_0                                                                                                                                                                                                        |
|         │ └─Selection_132(Probe)   | 2201.74  | root      |                                                                                                                                           | not(isnull(Column#63))                                                                                                                                                                                            |
|         │   └─CTEFullScan_133      | 2752.17  | root      | CTE:cp                                                                                                                                    | data:CTE_2                                                                                                                                                                                                        |
|         └─Selection_135(Probe)     | 2201.74  | root      |                                                                                                                                           | not(isnull(Column#66))                                                                                                                                                                                            |
|           └─CTEFullScan_136        | 2752.17  | root      | CTE:lp                                                                                                                                    | data:CTE_3                                                                                                                                                                                                        |
| CTE_5                              | 1.00     | root      |                                                                                                                                           | Non-Recursive CTE                                                                                                                                                                                                 |
| └─HashAgg_105(Seed Part)           | 1.00     | root      |                                                                                                                                           | funcs:sum(Column#60)->Column#61                                                                                                                                                                                   |
|   └─CTEFullScan_107                | 2752.17  | root      | CTE:last_2nd_28_days                                                                                                                      | data:CTE_3                                                                                                                                                                                                        |
| CTE_4                              | 1.00     | root      |                                                                                                                                           | Non-Recursive CTE                                                                                                                                                                                                 |
| └─HashAgg_99(Seed Part)            | 1.00     | root      |                                                                                                                                           | funcs:sum(Column#56)->Column#57                                                                                                                                                                                   |
|   └─CTEFullScan_101                | 2752.17  | root      | CTE:last_28_days                                                                                                                          | data:CTE_2                                                                                                                                                                                                        |
| CTE_0                              | 1.80     | root      |                                                                                                                                           | Recursive CTE                                                                                                                                                                                                     |
| ├─Projection_43(Seed Part)         | 1.00     | root      |                                                                                                                                           | 1->Column#2                                                                                                                                                                                                       |
| │ └─TableDual_44                   | 1.00     | root      |                                                                                                                                           | rows:1                                                                                                                                                                                                            |
| └─Projection_45(Recursive Part)    | 0.80     | root      |                                                                                                                                           | cast(plus(Column#3, 1), bigint(1) BINARY)->Column#5                                                                                                                                                               |
|   └─Selection_46                   | 0.80     | root      |                                                                                                                                           | lt(Column#3, 28)                                                                                                                                                                                                  |
|     └─CTETable_47                  | 1.00     | root      |                                                                                                                                           | Scan on CTE_0                                                                                                                                                                                                     |
| CTE_2                              | 2752.17  | root      |                                                                                                                                           | Non-Recursive CTE                                                                                                                                                                                                 |
| └─Projection_90(Seed Part)         | 2752.17  | root      |                                                                                                                                           | Column#46, Column#48, Column#49                                                                                                                                                                                   |
|   └─Selection_91                   | 2752.17  | root      |                                                                                                                                           | eq(Column#47, 0), not(isnull(Column#46))                                                                                                                                                                          |
|     └─CTEFullScan_92               | 3440.22  | root      | CTE:group_by_day                                                                                                                          | data:CTE_1                                                                                                                                                                                                        |
| CTE_3                              | 2752.17  | root      |                                                                                                                                           | Non-Recursive CTE                                                                                                                                                                                                 |
| └─Projection_94(Seed Part)         | 2752.17  | root      |                                                                                                                                           | Column#50, Column#52, Column#53                                                                                                                                                                                   |
|   └─Selection_95                   | 2752.17  | root      |                                                                                                                                           | eq(Column#51, 1), not(isnull(Column#50))                                                                                                                                                                          |
|     └─CTEFullScan_96               | 3440.22  | root      | CTE:group_by_day                                                                                                                          | data:CTE_1                                                                                                                                                                                                        |
| CTE_1                              | 3440.22  | root      |                                                                                                                                           | Non-Recursive CTE                                                                                                                                                                                                 |
| └─Projection_49(Seed Part)         | 3440.22  | root      |                                                                                                                                           | plus(mod(datediff(2022-08-29, cast(Column#42, datetime(6) BINARY)), 28), 1)->Column#44, intdiv(datediff(2022-08-29, cast(Column#42, datetime(6) BINARY)), 28)->Column#45, Column#42, Column#41                    |
|   └─Sort_50                        | 3440.22  | root      |                                                                                                                                           | Column#42                                                                                                                                                                                                         |
|     └─Projection_52                | 3440.22  | root      |                                                                                                                                           | date_format(gharchive_dev.github_events.created_at, %Y-%m-%d)->Column#42, Column#41                                                                                                                               |
|       └─HashAgg_62                 | 3440.22  | root      |                                                                                                                                           | group by:Column#81, funcs:sum(Column#82)->Column#41, funcs:firstrow(Column#83)->gharchive_dev.github_events.created_at                                                                                            |
|         └─IndexReader_63           | 3440.22  | root      | partition:push_event                                                                                                                      | index:HashAgg_53                                                                                                                                                                                                  |
|           └─HashAgg_53             | 3440.22  | cop[tikv] |                                                                                                                                           | group by:date_format(gharchive_dev.github_events.created_at, "%Y-%m-%d"), funcs:sum(gharchive_dev.github_events.push_distinct_size)->Column#82, funcs:firstrow(gharchive_dev.github_events.created_at)->Column#83 |
|             └─Selection_61         | 53087.39 | cop[tikv] |                                                                                                                                           | gt(gharchive_dev.github_events.created_at, 2022-07-04)                                                                                                                                                            |
|               └─IndexRangeScan_60  | 66359.24 | cop[tikv] | table:ge, index:index_ge_on_repo_id_type_action_created_at_pdsize_psize(repo_id, type, action, created_at, push_distinct_size, push_size) | range:[20580498 "PushEvent",20580498 "PushEvent"], keep order:false                                                                                                                                               |
+------------------------------------+----------+-----------+-------------------------------------------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
