+---------------------------------+----------+-----------+------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------+
| id                              | estRows  | task      | access object                                                                                                                            | operator info                                                                                           |
+---------------------------------+----------+-----------+------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------+
| Projection_159                  | 1.00     | root      |                                                                                                                                          | 41986369->Column#158, Column#151, Column#153, Column#155, Column#157                                    |
| └─HashJoin_160                  | 1.00     | root      |                                                                                                                                          | left outer join, equal:[eq(Column#149, Column#156)]                                                     |
|   ├─Selection_176(Build)        | 0.80     | root      |                                                                                                                                          | not(isnull(Column#156))                                                                                 |
|   │ └─CTEFullScan_177           | 1.00     | root      | CTE:icc                                                                                                                                  | data:CTE_3                                                                                              |
|   └─HashJoin_162(Probe)         | 1.00     | root      |                                                                                                                                          | left outer join, equal:[eq(Column#149, Column#154)]                                                     |
|     ├─Selection_174(Build)      | 0.80     | root      |                                                                                                                                          | not(isnull(Column#154))                                                                                 |
|     │ └─CTEFullScan_175         | 1.00     | root      | CTE:ico                                                                                                                                  | data:CTE_2                                                                                              |
|     └─HashJoin_164(Probe)       | 1.00     | root      |                                                                                                                                          | left outer join, equal:[eq(Column#149, Column#152)]                                                     |
|       ├─Selection_172(Build)    | 0.80     | root      |                                                                                                                                          | not(isnull(Column#152))                                                                                 |
|       │ └─CTEFullScan_173       | 1.00     | root      | CTE:ic                                                                                                                                   | data:CTE_1                                                                                              |
|       └─HashJoin_166(Probe)     | 1.00     | root      |                                                                                                                                          | left outer join, equal:[eq(Column#149, Column#150)]                                                     |
|         ├─Selection_170(Build)  | 0.80     | root      |                                                                                                                                          | not(isnull(Column#150))                                                                                 |
|         │ └─CTEFullScan_171     | 1.00     | root      | CTE:i                                                                                                                                    | data:CTE_0                                                                                              |
|         └─Projection_168(Probe) | 1.00     | root      |                                                                                                                                          | 41986369->Column#149                                                                                    |
|           └─TableDual_169       | 1.00     | root      |                                                                                                                                          | rows:1                                                                                                  |
| CTE_3                           | 1.00     | root      |                                                                                                                                          | Non-Recursive CTE                                                                                       |
| └─Projection_130(Seed Part)     | 1.00     | root      |                                                                                                                                          | 41986369->Column#148, Column#147                                                                        |
|   └─StreamAgg_133               | 1.00     | root      |                                                                                                                                          | funcs:count(distinct gharchive_dev.github_events.actor_login)->Column#147                               |
|     └─IndexReader_151           | 3055.85  | root      | partition:issue_comment_event                                                                                                            | index:IndexRangeScan_150                                                                                |
|       └─IndexRangeScan_150      | 3055.85  | cop[tikv] | table:github_events, index:index_github_events_on_repo_id_type_action_month_actor_login(repo_id, type, action, event_month, actor_login) | range:[41986369 "IssueCommentEvent" "created",41986369 "IssueCommentEvent" "created"], keep order:false |
| CTE_2                           | 1.00     | root      |                                                                                                                                          | Non-Recursive CTE                                                                                       |
| └─Projection_79(Seed Part)      | 1.00     | root      |                                                                                                                                          | 41986369->Column#111, Column#110                                                                        |
|   └─StreamAgg_116               | 1.00     | root      |                                                                                                                                          | funcs:count(Column#207)->Column#110                                                                     |
|     └─IndexReader_117           | 1.00     | root      | partition:issue_comment_event                                                                                                            | index:StreamAgg_84                                                                                      |
|       └─StreamAgg_84            | 1.00     | cop[tikv] |                                                                                                                                          | funcs:count(1)->Column#207                                                                              |
|         └─IndexRangeScan_112    | 3055.85  | cop[tikv] | table:github_events, index:index_github_events_on_repo_id_type_action_month_actor_login(repo_id, type, action, event_month, actor_login) | range:[41986369 "IssueCommentEvent" "created",41986369 "IssueCommentEvent" "created"], keep order:false |
| CTE_1                           | 1.00     | root      |                                                                                                                                          | Non-Recursive CTE                                                                                       |
| └─Projection_56(Seed Part)      | 1.00     | root      |                                                                                                                                          | 41986369->Column#74, Column#73                                                                          |
|   └─StreamAgg_59                | 1.00     | root      |                                                                                                                                          | funcs:count(distinct gharchive_dev.github_events.actor_login)->Column#73                                |
|     └─IndexReader_77            | 1061.01  | root      | partition:issues_event                                                                                                                   | index:IndexRangeScan_76                                                                                 |
|       └─IndexRangeScan_76       | 1061.01  | cop[tikv] | table:github_events, index:index_github_events_on_repo_id_type_action_month_actor_login(repo_id, type, action, event_month, actor_login) | range:[41986369 "IssuesEvent" "opened",41986369 "IssuesEvent" "opened"], keep order:false               |
| CTE_0                           | 1.00     | root      |                                                                                                                                          | Non-Recursive CTE                                                                                       |
| └─Projection_33(Seed Part)      | 1.00     | root      |                                                                                                                                          | 41986369->Column#37, Column#36                                                                          |
|   └─StreamAgg_36                | 1.00     | root      |                                                                                                                                          | funcs:count(distinct gharchive_dev.github_events.number)->Column#36                                     |
|     └─IndexReader_54            | 49450.99 | root      | partition:issues_event                                                                                                                   | index:IndexRangeScan_53                                                                                 |
|       └─IndexRangeScan_53       | 49450.99 | cop[tikv] | table:github_events, index:index_github_events_on_repo_id_type_action_number_created_at(repo_id, type, action, number, created_at)       | range:[41986369 "IssuesEvent",41986369 "IssuesEvent"], keep order:false                                 |
+---------------------------------+----------+-----------+------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------+
