+---------------------------------+-----------+-----------+------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------------------------------------+
| id                              | estRows   | task      | access object                                                                                                                                        | operator info                                                                                       |
+---------------------------------+-----------+-----------+------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------------------------------------+
| Projection_141                  | 1.00      | root      |                                                                                                                                                      | 41986369->Column#159, Column#152, Column#154, Column#156, Column#158                                |
| └─HashJoin_142                  | 1.00      | root      |                                                                                                                                                      | left outer join, equal:[eq(Column#150, Column#157)]                                                 |
|   ├─Selection_158(Build)        | 0.80      | root      |                                                                                                                                                      | not(isnull(Column#157))                                                                             |
|   │ └─CTEFullScan_159           | 1.00      | root      | CTE:prc                                                                                                                                              | data:CTE_3                                                                                          |
|   └─HashJoin_144(Probe)         | 1.00      | root      |                                                                                                                                                      | left outer join, equal:[eq(Column#150, Column#155)]                                                 |
|     ├─Selection_156(Build)      | 0.80      | root      |                                                                                                                                                      | not(isnull(Column#155))                                                                             |
|     │ └─CTEFullScan_157         | 1.00      | root      | CTE:i                                                                                                                                                | data:CTE_2                                                                                          |
|     └─HashJoin_146(Probe)       | 1.00      | root      |                                                                                                                                                      | left outer join, equal:[eq(Column#150, Column#153)]                                                 |
|       ├─Selection_154(Build)    | 0.80      | root      |                                                                                                                                                      | not(isnull(Column#153))                                                                             |
|       │ └─CTEFullScan_155       | 1.00      | root      | CTE:c                                                                                                                                                | data:CTE_1                                                                                          |
|       └─HashJoin_148(Probe)     | 1.00      | root      |                                                                                                                                                      | left outer join, equal:[eq(Column#150, Column#151)]                                                 |
|         ├─Selection_152(Build)  | 0.80      | root      |                                                                                                                                                      | not(isnull(Column#151))                                                                             |
|         │ └─CTEFullScan_153     | 1.00      | root      | CTE:s                                                                                                                                                | data:CTE_0                                                                                          |
|         └─Projection_150(Probe) | 1.00      | root      |                                                                                                                                                      | 41986369->Column#150                                                                                |
|           └─TableDual_151       | 1.00      | root      |                                                                                                                                                      | rows:1                                                                                              |
| CTE_3                           | 1.00      | root      |                                                                                                                                                      | Non-Recursive CTE                                                                                   |
| └─Projection_112(Seed Part)     | 1.00      | root      |                                                                                                                                                      | 41986369->Column#149, Column#148                                                                    |
|   └─StreamAgg_115               | 1.00      | root      |                                                                                                                                                      | funcs:count(distinct gharchive_dev.github_events.actor_login)->Column#148                           |
|     └─IndexReader_133           | 2681.14   | root      | partition:pull_request_event                                                                                                                         | index:IndexRangeScan_132                                                                            |
|       └─IndexRangeScan_132      | 2681.14   | cop[tikv] | table:github_events, index:index_github_events_on_repo_id_type_action_month_actor_login(repo_id, type, action, event_month, actor_login)             | range:[41986369 "PullRequestEvent" "opened",41986369 "PullRequestEvent" "opened"], keep order:false |
| CTE_2                           | 1.00      | root      |                                                                                                                                                      | Non-Recursive CTE                                                                                   |
| └─Projection_89(Seed Part)      | 1.00      | root      |                                                                                                                                                      | 41986369->Column#112, Column#111                                                                    |
|   └─StreamAgg_92                | 1.00      | root      |                                                                                                                                                      | funcs:count(distinct gharchive_dev.github_events.number)->Column#111                                |
|     └─IndexReader_110           | 49450.99  | root      | partition:issues_event                                                                                                                               | index:IndexRangeScan_109                                                                            |
|       └─IndexRangeScan_109      | 49450.99  | cop[tikv] | table:github_events, index:index_github_events_on_repo_id_type_action_number_created_at(repo_id, type, action, number, created_at)                   | range:[41986369 "IssuesEvent",41986369 "IssuesEvent"], keep order:false                             |
| CTE_1                           | 1.00      | root      |                                                                                                                                                      | Non-Recursive CTE                                                                                   |
| └─Projection_56(Seed Part)      | 1.00      | root      |                                                                                                                                                      | 41986369->Column#74, ifnull(Column#73, 0)->Column#75                                                |
|   └─StreamAgg_81                | 1.00      | root      |                                                                                                                                                      | funcs:sum(Column#180)->Column#73                                                                    |
|     └─IndexReader_82            | 1.00      | root      | partition:push_event                                                                                                                                 | index:StreamAgg_61                                                                                  |
|       └─StreamAgg_61            | 1.00      | cop[tikv] |                                                                                                                                                      | funcs:sum(gharchive_dev.github_events.push_distinct_size)->Column#180                               |
|         └─IndexRangeScan_80     | 271604.18 | cop[tikv] | table:github_events, index:index_ge_on_repo_id_type_action_created_at_pdsize_psize(repo_id, type, action, created_at, push_distinct_size, push_size) | range:[41986369 "PushEvent",41986369 "PushEvent"], keep order:false                                 |
| CTE_0                           | 1.00      | root      |                                                                                                                                                      | Non-Recursive CTE                                                                                   |
| └─Projection_33(Seed Part)      | 1.00      | root      |                                                                                                                                                      | 41986369->Column#37, Column#36                                                                      |
|   └─StreamAgg_36                | 1.00      | root      |                                                                                                                                                      | funcs:count(distinct gharchive_dev.github_events.actor_login)->Column#36                            |
|     └─IndexReader_54            | 2288.21   | root      | partition:watch_event                                                                                                                                | index:IndexRangeScan_53                                                                             |
|       └─IndexRangeScan_53       | 2288.21   | cop[tikv] | table:github_events, index:index_github_events_on_repo_id_type_action_month_actor_login(repo_id, type, action, event_month, actor_login)             | range:[41986369 "WatchEvent" "started",41986369 "WatchEvent" "started"], keep order:false           |
+---------------------------------+-----------+-----------+------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------------------------------------+
