+----------------------------------------+-------------+--------------+-------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------+
| id                                     | estRows     | task         | access object                                                                                                                 | operator info                                                                                                                          |
+----------------------------------------+-------------+--------------+-------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------+
| Projection_93                          | 1.00        | root         |                                                                                                                               | Column#55, Column#56, div(cast(Column#56, decimal(20,0) BINARY), Column#57)->Column#58                                                 |
| └─HashJoin_94                          | 1.00        | root         |                                                                                                                               | CARTESIAN inner join                                                                                                                   |
|   ├─CTEFullScan_97(Build)              | 1.00        | root         | CTE:s                                                                                                                         | data:CTE_1                                                                                                                             |
|   └─CTEFullScan_96(Probe)              | 1.00        | root         | CTE:group_by_area                                                                                                             | data:CTE_0                                                                                                                             |
| CTE_1                                  | 1.00        | root         |                                                                                                                               | Non-Recursive CTE                                                                                                                      |
| └─StreamAgg_88(Seed Part)              | 1.00        | root         |                                                                                                                               | funcs:sum(Column#77)->Column#54                                                                                                        |
|   └─Projection_91                      | 1.00        | root         |                                                                                                                               | cast(Column#53, decimal(20,0) BINARY)->Column#77                                                                                       |
|     └─CTEFullScan_90                   | 1.00        | root         | CTE:group_by_area                                                                                                             | data:CTE_0                                                                                                                             |
| CTE_0                                  | 1.00        | root         |                                                                                                                               | Non-Recursive CTE                                                                                                                      |
| └─Sort_20(Seed Part)                   | 1.00        | root         |                                                                                                                               | Column#50:desc                                                                                                                         |
|   └─Projection_22                      | 1.00        | root         |                                                                                                                               | upper(Column#49)->Column#51, Column#50                                                                                                 |
|     └─HashAgg_25                       | 1.00        | root         |                                                                                                                               | group by:Column#76, funcs:count(1)->Column#50, funcs:firstrow(Column#75)->Column#49                                                    |
|       └─Projection_84                  | 0.00        | root         |                                                                                                                               | Column#49, upper(Column#49)->Column#76                                                                                                 |
|         └─HashJoin_40                  | 0.00        | root         |                                                                                                                               | inner join, equal:[eq(gharchive_dev.github_events.actor_login, Column#37)]                                                             |
|           ├─IndexLookUp_68(Build)      | 0.00        | root         | partition:watch_event                                                                                                         |                                                                                                                                        |
|           │ ├─IndexRangeScan_65(Build) | 49.40       | cop[tikv]    | table:ge, index:index_github_events_on_repo_id_type_action_month_actor_login(repo_id, type, action, event_month, actor_login) | range:[41986369 "WatchEvent" "started" 2022-08-01 -inf,41986369 "WatchEvent" "started" 2022-08-01 +inf], keep order:false              |
|           │ └─Selection_67(Probe)      | 0.00        | cop[tikv]    |                                                                                                                               | gt(gharchive_dev.github_events.created_at, 2022-08-01)                                                                                 |
|           │   └─TableRowIDScan_66      | 49.40       | cop[tikv]    | table:ge                                                                                                                      | keep order:false                                                                                                                       |
|           └─Projection_52(Probe)       | 36671088.00 | root         |                                                                                                                               | gharchive_dev.users.login, case(in(gharchive_dev.users.country_code, HK, MO, TW, CN), CN, gharchive_dev.users.country_code)->Column#49 |
|             └─TableReader_58           | 36671088.00 | root         |                                                                                                                               | data:Selection_57                                                                                                                      |
|               └─Selection_57           | 36671088.00 | cop[tiflash] |                                                                                                                               | not(isnull(case(in(gharchive_dev.users.country_code, "HK", "MO", "TW", "CN"), "CN", gharchive_dev.users.country_code)))                |
|                 └─TableFullScan_56     | 45838860.00 | cop[tiflash] | table:users                                                                                                                   | keep order:false                                                                                                                       |
+----------------------------------------+-------------+--------------+-------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------+
