+----------------------------------------------------+---------------+--------------+------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------+
| id                                                 | estRows       | task         | access object                                                    | operator info                                                                                                                                                |
+----------------------------------------------------+---------------+--------------+------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Projection_15                                      | 10.00         | root         |                                                                  | gharchive_dev.db_repos.name, Column#39                                                                                                                       |
| └─TopN_19                                          | 10.00         | root         |                                                                  | Column#39:desc, offset:0, count:10                                                                                                                           |
|   └─TableReader_82                                 | 10.00         | root         | table of db_repos, partition:pull_request_event of github_events | data:ExchangeSender_81                                                                                                                                       |
|     └─ExchangeSender_81                            | 10.00         | mpp[tiflash] |                                                                  | ExchangeType: PassThrough                                                                                                                                    |
|       └─TopN_80                                    | 10.00         | mpp[tiflash] |                                                                  | Column#39:desc, offset:0, count:10                                                                                                                           |
|         └─Projection_76                            | 36.80         | mpp[tiflash] |                                                                  | Column#39, gharchive_dev.db_repos.name                                                                                                                       |
|           └─HashAgg_77                             | 36.80         | mpp[tiflash] |                                                                  | group by:gharchive_dev.db_repos.name, funcs:sum(Column#48)->Column#39, funcs:firstrow(gharchive_dev.db_repos.name)->gharchive_dev.db_repos.name              |
|             └─ExchangeReceiver_79                  | 36.80         | mpp[tiflash] |                                                                  |                                                                                                                                                              |
|               └─ExchangeSender_78                  | 36.80         | mpp[tiflash] |                                                                  | ExchangeType: HashPartition, Hash Cols: [name: gharchive_dev.db_repos.name, collate: utf8mb4_unicode_ci]                                                     |
|                 └─HashAgg_74                       | 36.80         | mpp[tiflash] |                                                                  | group by:gharchive_dev.db_repos.name, funcs:count(1)->Column#48                                                                                              |
|                   └─Projection_63                  | 825.74        | mpp[tiflash] |                                                                  | gharchive_dev.db_repos.name                                                                                                                                  |
|                     └─HashJoin_57                  | 825.74        | mpp[tiflash] |                                                                  | inner join, equal:[eq(Column#41, Column#40)]                                                                                                                 |
|                       ├─ExchangeReceiver_37(Build) | 46.00         | mpp[tiflash] |                                                                  |                                                                                                                                                              |
|                       │ └─ExchangeSender_36        | 46.00         | mpp[tiflash] |                                                                  | ExchangeType: Broadcast                                                                                                                                      |
|                       │   └─Projection_34          | 46.00         | mpp[tiflash] |                                                                  | gharchive_dev.db_repos.name, cast(gharchive_dev.db_repos.id, double BINARY)->Column#41                                                                       |
|                       │     └─TableFullScan_35     | 46.00         | mpp[tiflash] | table:db_repos                                                   | keep order:false, stats:pseudo                                                                                                                               |
|                       └─Projection_38(Probe)       | 4996426.10    | mpp[tiflash] |                                                                  | cast(gharchive_dev.github_events.repo_id, double BINARY)->Column#40                                                                                          |
|                         └─Selection_40             | 4996426.10    | mpp[tiflash] |                                                                  | eq(gharchive_dev.github_events.action, "opened"), eq(gharchive_dev.github_events.event_year, 2021), eq(gharchive_dev.github_events.type, "PullRequestEvent") |
|                           └─TableFullScan_39       | 4944819286.00 | mpp[tiflash] | table:github_events                                              | keep order:false, PartitionTableScan:true                                                                                                                    |
+----------------------------------------------------+---------------+--------------+------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------+
