+------------------------------------------+---------------+--------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| id                                       | estRows       | task         | access object                                                                                                                                                                | operator info                                                                                                                                                                                                                                                                         |
+------------------------------------------+---------------+--------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Projection_19                            | 10.00         | root         |                                                                                                                                                                              | gharchive_dev.users.country_code, Column#52                                                                                                                                                                                                                                           |
| └─TopN_22                                | 10.00         | root         |                                                                                                                                                                              | Column#52:desc, offset:0, count:10                                                                                                                                                                                                                                                    |
|   └─HashAgg_27                           | 20.37         | root         |                                                                                                                                                                              | group by:gharchive_dev.users.country_code, funcs:count(distinct gharchive_dev.github_events.actor_id)->Column#52, funcs:firstrow(gharchive_dev.users.country_code)->gharchive_dev.users.country_code                                                                                  |
|     └─IndexJoin_38                       | 825.74        | root         |                                                                                                                                                                              | inner join, inner:IndexLookUp_37, outer key:gharchive_dev.github_events.actor_login, inner key:gharchive_dev.users.login, equal cond:eq(gharchive_dev.github_events.actor_login, gharchive_dev.users.login)                                                                           |
|       ├─TableReader_69(Build)            | 825.74        | root         | table of db, partition:pull_request_event,issue_comment_event,issues_event,pull_request_review_comment_event,pull_request_review_event,commit_comment_event of github_events | data:ExchangeSender_68                                                                                                                                                                                                                                                                |
|       │ └─ExchangeSender_68              | 825.74        | mpp[tiflash] |                                                                                                                                                                              | ExchangeType: PassThrough                                                                                                                                                                                                                                                             |
|       │   └─HashJoin_65                  | 825.74        | mpp[tiflash] |                                                                                                                                                                              | inner join, equal:[eq(Column#54, Column#53)]                                                                                                                                                                                                                                          |
|       │     ├─ExchangeReceiver_55(Build) | 46.00         | mpp[tiflash] |                                                                                                                                                                              |                                                                                                                                                                                                                                                                                       |
|       │     │ └─ExchangeSender_54        | 46.00         | mpp[tiflash] |                                                                                                                                                                              | ExchangeType: Broadcast                                                                                                                                                                                                                                                               |
|       │     │   └─Projection_52          | 46.00         | mpp[tiflash] |                                                                                                                                                                              | cast(gharchive_dev.db_repos.id, double BINARY)->Column#54                                                                                                                                                                                                                             |
|       │     │     └─TableFullScan_53     | 46.00         | mpp[tiflash] | table:db                                                                                                                                                                     | keep order:false, stats:pseudo                                                                                                                                                                                                                                                        |
|       │     └─Projection_56(Probe)       | 205598019.89  | mpp[tiflash] |                                                                                                                                                                              | gharchive_dev.github_events.actor_id, gharchive_dev.github_events.actor_login, cast(gharchive_dev.github_events.repo_id, double BINARY)->Column#53                                                                                                                                    |
|       │       └─Selection_58             | 205598019.89  | mpp[tiflash] |                                                                                                                                                                              | eq(gharchive_dev.github_events.event_year, 2021), in(gharchive_dev.github_events.type, "IssuesEvent", "PullRequestEvent", "IssueCommentEvent", "PullRequestReviewCommentEvent", "CommitCommentEvent", "PullRequestReviewEvent"), not(isnull(gharchive_dev.github_events.actor_login)) |
|       │         └─TableFullScan_57       | 4945099302.00 | mpp[tiflash] | table:github_events                                                                                                                                                          | keep order:false, PartitionTableScan:true                                                                                                                                                                                                                                             |
|       └─IndexLookUp_37(Probe)            | 1.00          | root         |                                                                                                                                                                              |                                                                                                                                                                                                                                                                                       |
|         ├─IndexRangeScan_34(Build)       | 12.27         | cop[tikv]    | table:u, index:index_login_on_users(login)                                                                                                                                   | range: decided by [eq(gharchive_dev.users.login, gharchive_dev.github_events.actor_login)], keep order:false                                                                                                                                                                          |
|         └─Selection_36(Probe)            | 1.00          | cop[tikv]    |                                                                                                                                                                              | not(isnull(gharchive_dev.users.country_code))                                                                                                                                                                                                                                         |
|           └─TableRowIDScan_35            | 12.27         | cop[tikv]    | table:u                                                                                                                                                                      | keep order:false                                                                                                                                                                                                                                                                      |
+------------------------------------------+---------------+--------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
