+--------------------------------------------------+---------------+--------------+------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| id                                               | estRows       | task         | access object                                              | operator info                                                                                                                                                                                                                 |
+--------------------------------------------------+---------------+--------------+------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Projection_15                                    | 20.00         | root         |                                                            | gharchive_dev.github_events.actor_login, Column#39                                                                                                                                                                            |
| └─TopN_19                                        | 20.00         | root         |                                                            | Column#39:desc, offset:0, count:20                                                                                                                                                                                            |
|   └─TableReader_87                               | 20.00         | root         | table of db, partition:pull_request_event of github_events | data:ExchangeSender_86                                                                                                                                                                                                        |
|     └─ExchangeSender_86                          | 20.00         | mpp[tiflash] |                                                            | ExchangeType: PassThrough                                                                                                                                                                                                     |
|       └─TopN_85                                  | 20.00         | mpp[tiflash] |                                                            | Column#39:desc, offset:0, count:20                                                                                                                                                                                            |
|         └─Projection_80                          | 825.74        | mpp[tiflash] |                                                            | Column#39, gharchive_dev.github_events.actor_login                                                                                                                                                                            |
|           └─HashAgg_78                           | 825.74        | mpp[tiflash] |                                                            | group by:gharchive_dev.github_events.actor_login, funcs:count(1)->Column#39, funcs:firstrow(gharchive_dev.github_events.actor_login)->gharchive_dev.github_events.actor_login                                                 |
|             └─ExchangeReceiver_63                | 825.74        | mpp[tiflash] |                                                            |                                                                                                                                                                                                                               |
|               └─ExchangeSender_62                | 825.74        | mpp[tiflash] |                                                            | ExchangeType: HashPartition, Hash Cols: [name: gharchive_dev.github_events.actor_login, collate: utf8mb4_unicode_ci]                                                                                                          |
|                 └─Projection_60                  | 825.74        | mpp[tiflash] |                                                            | gharchive_dev.github_events.actor_login                                                                                                                                                                                       |
|                   └─HashJoin_61                  | 825.74        | mpp[tiflash] |                                                            | inner join, equal:[eq(Column#41, Column#40)]                                                                                                                                                                                  |
|                     ├─ExchangeReceiver_39(Build) | 46.00         | mpp[tiflash] |                                                            |                                                                                                                                                                                                                               |
|                     │ └─ExchangeSender_38        | 46.00         | mpp[tiflash] |                                                            | ExchangeType: Broadcast                                                                                                                                                                                                       |
|                     │   └─Projection_36          | 46.00         | mpp[tiflash] |                                                            | cast(gharchive_dev.db_repos.id, double BINARY)->Column#41                                                                                                                                                                     |
|                     │     └─TableFullScan_37     | 46.00         | mpp[tiflash] | table:db                                                   | keep order:false, stats:pseudo                                                                                                                                                                                                |
|                     └─Projection_40(Probe)       | 3997140.88    | mpp[tiflash] |                                                            | gharchive_dev.github_events.actor_login, cast(gharchive_dev.github_events.repo_id, double BINARY)->Column#40                                                                                                                  |
|                       └─Selection_42             | 3997140.88    | mpp[tiflash] |                                                            | eq(gharchive_dev.github_events.action, "opened"), eq(gharchive_dev.github_events.event_year, 2021), eq(gharchive_dev.github_events.type, "PullRequestEvent"), not(like(gharchive_dev.github_events.actor_login, "%bot%", 92)) |
|                         └─TableFullScan_41       | 4944819286.00 | mpp[tiflash] | table:github_events                                        | keep order:false, PartitionTableScan:true                                                                                                                                                                                     |
+--------------------------------------------------+---------------+--------------+------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
