+----------------------------------------------------------------+---------------+--------------+-----------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| id                                                             | estRows       | task         | access object                                       | operator info                                                                                                                                                                                                 |
+----------------------------------------------------------------+---------------+--------------+-----------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Projection_17                                                  | 20.00         | root         |                                                     | gharchive_dev.db_repos.name, Column#39, Column#40, round(div(minus(Column#40, Column#39), Column#39), 3)->Column#41                                                                                           |
| └─Projection_87                                                | 20.00         | root         |                                                     | Column#39, Column#40, gharchive_dev.db_repos.name                                                                                                                                                             |
|   └─TopN_21                                                    | 20.00         | root         |                                                     | Column#60:desc, offset:0, count:20                                                                                                                                                                            |
|     └─Projection_88                                            | 20.00         | root         |                                                     | Column#39, Column#40, gharchive_dev.db_repos.name, round(div(minus(Column#40, Column#39), Column#39), 3)->Column#60                                                                                           |
|       └─TableReader_83                                         | 20.00         | root         | table of db, partition:watch_event of github_events | data:ExchangeSender_82                                                                                                                                                                                        |
|         └─ExchangeSender_82                                    | 20.00         | mpp[tiflash] |                                                     | ExchangeType: PassThrough                                                                                                                                                                                     |
|           └─Projection_85                                      | 20.00         | mpp[tiflash] |                                                     | Column#39, Column#40, gharchive_dev.db_repos.name                                                                                                                                                             |
|             └─TopN_81                                          | 20.00         | mpp[tiflash] |                                                     | Column#59:desc, offset:0, count:20                                                                                                                                                                            |
|               └─Projection_86                                  | 29.44         | mpp[tiflash] |                                                     | Column#39, Column#40, gharchive_dev.db_repos.name, round(div(minus(Column#40, Column#39), Column#39), 3)->Column#59                                                                                           |
|                 └─Selection_73                                 | 29.44         | mpp[tiflash] |                                                     | gt(Column#39, 0)                                                                                                                                                                                              |
|                   └─Projection_77                              | 36.80         | mpp[tiflash] |                                                     | Column#39, Column#40, gharchive_dev.db_repos.name                                                                                                                                                             |
|                     └─HashAgg_78                               | 36.80         | mpp[tiflash] |                                                     | group by:gharchive_dev.db_repos.name, funcs:sum(Column#53)->Column#39, funcs:sum(Column#54)->Column#40, funcs:firstrow(gharchive_dev.db_repos.name)->gharchive_dev.db_repos.name                              |
|                       └─ExchangeReceiver_80                    | 36.80         | mpp[tiflash] |                                                     |                                                                                                                                                                                                               |
|                         └─ExchangeSender_79                    | 36.80         | mpp[tiflash] |                                                     | ExchangeType: HashPartition, Hash Cols: [name: gharchive_dev.db_repos.name, collate: utf8mb4_unicode_ci]                                                                                                      |
|                           └─HashAgg_75                         | 36.80         | mpp[tiflash] |                                                     | group by:Column#58, funcs:sum(Column#56)->Column#53, funcs:sum(Column#57)->Column#54                                                                                                                          |
|                             └─Projection_84                    | 825.74        | mpp[tiflash] |                                                     | cast(eq(gharchive_dev.github_events.event_year, 2020), decimal(20,0) BINARY)->Column#56, cast(eq(gharchive_dev.github_events.event_year, 2021), decimal(20,0) BINARY)->Column#57, gharchive_dev.db_repos.name |
|                               └─Projection_63                  | 825.74        | mpp[tiflash] |                                                     | gharchive_dev.github_events.event_year, gharchive_dev.db_repos.name                                                                                                                                           |
|                                 └─HashJoin_57                  | 825.74        | mpp[tiflash] |                                                     | inner join, equal:[eq(Column#44, Column#43)]                                                                                                                                                                  |
|                                   ├─ExchangeReceiver_37(Build) | 46.00         | mpp[tiflash] |                                                     |                                                                                                                                                                                                               |
|                                   │ └─ExchangeSender_36        | 46.00         | mpp[tiflash] |                                                     | ExchangeType: Broadcast                                                                                                                                                                                       |
|                                   │   └─Projection_34          | 46.00         | mpp[tiflash] |                                                     | gharchive_dev.db_repos.name, cast(gharchive_dev.db_repos.id, double BINARY)->Column#44                                                                                                                        |
|                                   │     └─TableFullScan_35     | 46.00         | mpp[tiflash] | table:db                                            | keep order:false, stats:pseudo                                                                                                                                                                                |
|                                   └─Projection_38(Probe)       | 123892946.15  | mpp[tiflash] |                                                     | gharchive_dev.github_events.event_year, cast(gharchive_dev.github_events.repo_id, double BINARY)->Column#43                                                                                                   |
|                                     └─Selection_40             | 123892946.15  | mpp[tiflash] |                                                     | eq(gharchive_dev.github_events.type, "WatchEvent"), in(gharchive_dev.github_events.event_year, 2021, 2020)                                                                                                    |
|                                       └─TableFullScan_39       | 4945099302.00 | mpp[tiflash] | table:github_events                                 | keep order:false, PartitionTableScan:true                                                                                                                                                                     |
+----------------------------------------------------------------+---------------+--------------+-----------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
