+--------------------------------------------------+---------------+--------------+------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| id                                               | estRows       | task         | access object                                              | operator info                                                                                                                                                              |
+--------------------------------------------------+---------------+--------------+------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Projection_15                                    | 1.00          | root         |                                                            | gharchive_dev.github_events.language, Column#39                                                                                                                            |
| └─TopN_18                                        | 1.00          | root         |                                                            | Column#39:desc, offset:0, count:5                                                                                                                                          |
|   └─TableReader_71                               | 1.00          | root         | table of db, partition:pull_request_event of github_events | data:ExchangeSender_70                                                                                                                                                     |
|     └─ExchangeSender_70                          | 1.00          | mpp[tiflash] |                                                            | ExchangeType: PassThrough                                                                                                                                                  |
|       └─Projection_66                            | 1.00          | mpp[tiflash] |                                                            | Column#39, gharchive_dev.github_events.language                                                                                                                            |
|         └─HashAgg_67                             | 1.00          | mpp[tiflash] |                                                            | group by:gharchive_dev.github_events.language, funcs:sum(Column#44)->Column#39, funcs:firstrow(gharchive_dev.github_events.language)->gharchive_dev.github_events.language |
|           └─ExchangeReceiver_69                  | 1.00          | mpp[tiflash] |                                                            |                                                                                                                                                                            |
|             └─ExchangeSender_68                  | 1.00          | mpp[tiflash] |                                                            | ExchangeType: HashPartition, Hash Cols: [name: gharchive_dev.github_events.language, collate: utf8mb4_unicode_ci]                                                          |
|               └─HashAgg_27                       | 1.00          | mpp[tiflash] |                                                            | group by:gharchive_dev.github_events.language, funcs:count(1)->Column#44                                                                                                   |
|                 └─Projection_65                  | 825.74        | mpp[tiflash] |                                                            | gharchive_dev.github_events.language                                                                                                                                       |
|                   └─HashJoin_59                  | 825.74        | mpp[tiflash] |                                                            | inner join, equal:[eq(Column#41, Column#40)]                                                                                                                               |
|                     ├─ExchangeReceiver_37(Build) | 46.00         | mpp[tiflash] |                                                            |                                                                                                                                                                            |
|                     │ └─ExchangeSender_36        | 46.00         | mpp[tiflash] |                                                            | ExchangeType: Broadcast                                                                                                                                                    |
|                     │   └─Projection_34          | 46.00         | mpp[tiflash] |                                                            | cast(gharchive_dev.db_repos.id, double BINARY)->Column#41                                                                                                                  |
|                     │     └─TableFullScan_35     | 46.00         | mpp[tiflash] | table:db                                                   | keep order:false, stats:pseudo                                                                                                                                             |
|                     └─Projection_38(Probe)       | 4996426.10    | mpp[tiflash] |                                                            | gharchive_dev.github_events.language, cast(gharchive_dev.github_events.repo_id, double BINARY)->Column#40                                                                  |
|                       └─Selection_40             | 4996426.10    | mpp[tiflash] |                                                            | eq(gharchive_dev.github_events.action, "opened"), eq(gharchive_dev.github_events.event_year, 2021), eq(gharchive_dev.github_events.type, "PullRequestEvent")               |
|                         └─TableFullScan_39       | 4944819286.00 | mpp[tiflash] | table:github_events                                        | keep order:false, PartitionTableScan:true                                                                                                                                  |
+--------------------------------------------------+---------------+--------------+------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
