+-----------------------------------------------+-----------+-----------+--------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| id                                            | estRows   | task      | access object                                                                                          | operator info                                                                                                                                                                                                                          |
+-----------------------------------------------+-----------+-----------+--------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Window_91                                     | 6002.34   | root      |                                                                                                        | row_number()->Column#59 over(partition by gharchive_dev.github_events.event_year order by Column#57 desc rows between current row and current row)                                                                                     |
| └─Sort_93                                     | 6002.34   | root      |                                                                                                        | gharchive_dev.github_events.event_year, Column#57:desc                                                                                                                                                                                 |
|   └─CTEFullScan_92                            | 6002.34   | root      | CTE:acc_dist                                                                                           | data:CTE_1                                                                                                                                                                                                                             |
| CTE_1                                         | 6002.34   | root      |                                                                                                        | Non-Recursive CTE                                                                                                                                                                                                                      |
| └─Sort_77(Seed Part)                          | 6002.34   | root      |                                                                                                        | gharchive_dev.github_events.event_year                                                                                                                                                                                                 |
|   └─Projection_79                             | 6002.34   | root      |                                                                                                        | gharchive_dev.github_events.event_year, Column#52, any_value(Column#53)->Column#54                                                                                                                                                     |
|     └─HashAgg_80                              | 6002.34   | root      |                                                                                                        | group by:Column#52, gharchive_dev.github_events.event_year, funcs:firstrow(gharchive_dev.github_events.event_year)->gharchive_dev.github_events.event_year, funcs:firstrow(Column#52)->Column#52, funcs:firstrow(Column#53)->Column#53 |
|       └─CTEFullScan_81                        | 6002.34   | root      | CTE:acc                                                                                                | data:CTE_0                                                                                                                                                                                                                             |
| CTE_0                                         | 6002.34   | root      |                                                                                                        | Non-Recursive CTE                                                                                                                                                                                                                      |
| └─Projection_30(Seed Part)                    | 6002.34   | root      |                                                                                                        | gharchive_dev.github_events.event_year, Column#40, Column#47                                                                                                                                                                           |
|   └─Sort_31                                   | 6002.34   | root      |                                                                                                        | gharchive_dev.github_events.event_year                                                                                                                                                                                                 |
|     └─Shuffle_76                              | 6002.34   | root      |                                                                                                        | execution info: concurrency:5, data sources:[Selection_35]                                                                                                                                                                             |
|       └─Window_33                             | 6002.34   | root      |                                                                                                        | count(gharchive_dev.github_events.number)->Column#47 over(partition by Column#40 order by gharchive_dev.github_events.event_year range between unbounded preceding and current row)                                                    |
|         └─Sort_75                             | 6002.34   | root      |                                                                                                        | Column#40, gharchive_dev.github_events.event_year                                                                                                                                                                                      |
|           └─Selection_35                      | 6002.34   | root      |                                                                                                        | eq(Column#41, 1)                                                                                                                                                                                                                       |
|             └─Window_37                       | 7502.92   | root      |                                                                                                        | row_number()->Column#41 over(partition by gharchive_dev.github_events.number rows between current row and current row)                                                                                                                 |
|               └─Sort_74                       | 7502.92   | root      |                                                                                                        | gharchive_dev.github_events.number                                                                                                                                                                                                     |
|                 └─Window_38                   | 7502.92   | root      |                                                                                                        | first_value(gharchive_dev.github_events.repo_name)->Column#40 over(partition by gharchive_dev.github_events.repo_id order by gharchive_dev.github_events.created_at desc range between unbounded preceding and current row)            |
|                   └─Sort_73                   | 7502.92   | root      |                                                                                                        | gharchive_dev.github_events.repo_id, gharchive_dev.github_events.created_at:desc                                                                                                                                                       |
|                     └─HashJoin_40             | 7502.92   | root      |                                                                                                        | CARTESIAN anti semi join, other cond:eq(gharchive_dev.github_events.actor_login, gharchive_dev.blacklist_users.login)                                                                                                                  |
|                       ├─IndexReader_70(Build) | 1.00      | root      |                                                                                                        | index:IndexFullScan_69                                                                                                                                                                                                                 |
|                       │ └─IndexFullScan_69    | 1.00      | cop[tikv] | table:bu, index:blacklist_users_login_uindex(login)                                                    | keep order:false                                                                                                                                                                                                                       |
|                       └─IndexLookUp_59(Probe) | 9378.65   | root      | partition:pull_request_event                                                                           |                                                                                                                                                                                                                                        |
|                         ├─Selection_57(Build) | 118289.83 | cop[tikv] |                                                                                                        | not(like(gharchive_dev.github_events.actor_login, "%bot%", 92))                                                                                                                                                                        |
|                         │ └─IndexRangeScan_55 | 147862.28 | cop[tikv] | table:github_events, index:index_github_events_on_repo_id_type_actor_login(repo_id, type, actor_login) | range:[16563587 "PullRequestEvent",16563587 "PullRequestEvent"], [41986369 "PullRequestEvent",41986369 "PullRequestEvent"], [105944401 "PullRequestEvent",105944401 "PullRequestEvent"], keep order:false                              |
|                         └─Selection_58(Probe) | 9378.65   | cop[tikv] |                                                                                                        | eq(gharchive_dev.github_events.state, "open")                                                                                                                                                                                          |
|                           └─TableRowIDScan_56 | 118289.83 | cop[tikv] | table:github_events                                                                                    | keep order:false                                                                                                                                                                                                                       |
+-----------------------------------------------+-----------+-----------+--------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
