+-------------------------------------+-----------+-----------+-------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| id                                  | estRows   | task      | access object                                                                                                                                               | operator info                                                                                                                                                                                                                           |
+-------------------------------------+-----------+-----------+-------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Window_112                          | 371337.46 | root      |                                                                                                                                                             | row_number()->Column#103 over(partition by gharchive_dev.github_events.event_year order by Column#101 desc rows between current row and current row)                                                                                    |
| └─Sort_114                          | 371337.46 | root      |                                                                                                                                                             | gharchive_dev.github_events.event_year, Column#101:desc                                                                                                                                                                                 |
|   └─CTEFullScan_113                 | 371337.46 | root      | CTE:acc_dist                                                                                                                                                | data:CTE_4                                                                                                                                                                                                                              |
| CTE_4                               | 371337.46 | root      |                                                                                                                                                             | Non-Recursive CTE                                                                                                                                                                                                                       |
| └─Sort_98(Seed Part)                | 371337.46 | root      |                                                                                                                                                             | gharchive_dev.github_events.event_year                                                                                                                                                                                                  |
|   └─Projection_100                  | 371337.46 | root      |                                                                                                                                                             | gharchive_dev.github_events.event_year, Column#96, any_value(Column#97)->Column#98                                                                                                                                                      |
|     └─HashAgg_101                   | 371337.46 | root      |                                                                                                                                                             | group by:Column#96, gharchive_dev.github_events.event_year, funcs:firstrow(gharchive_dev.github_events.event_year)->gharchive_dev.github_events.event_year, funcs:firstrow(Column#96)->Column#96, funcs:firstrow(Column#97)->Column#97  |
|       └─CTEFullScan_102             | 371337.46 | root      | CTE:acc                                                                                                                                                     | data:CTE_3                                                                                                                                                                                                                              |
| CTE_3                               | 371337.46 | root      |                                                                                                                                                             | Non-Recursive CTE                                                                                                                                                                                                                       |
| └─Projection_89(Seed Part)          | 371337.46 | root      |                                                                                                                                                             | gharchive_dev.github_events.event_year, Column#88, Column#91                                                                                                                                                                            |
|   └─Sort_90                         | 371337.46 | root      |                                                                                                                                                             | gharchive_dev.github_events.event_year                                                                                                                                                                                                  |
|     └─Shuffle_97                    | 371337.46 | root      |                                                                                                                                                             | execution info: concurrency:5, data sources:[Selection_94]                                                                                                                                                                              |
|       └─Window_92                   | 371337.46 | root      |                                                                                                                                                             | count(gharchive_dev.github_events.actor_login)->Column#91 over(partition by Column#88 order by gharchive_dev.github_events.event_year range between unbounded preceding and current row)                                                |
|         └─Sort_96                   | 371337.46 | root      |                                                                                                                                                             | Column#88, gharchive_dev.github_events.event_year                                                                                                                                                                                       |
|           └─Selection_94            | 371337.46 | root      |                                                                                                                                                             | eq(Column#89, 1)                                                                                                                                                                                                                        |
|             └─CTEFullScan_95        | 464171.83 | root      | CTE:pr_creators_with_latest_repo_name                                                                                                                       | data:CTE_2                                                                                                                                                                                                                              |
| CTE_2                               | 464171.83 | root      |                                                                                                                                                             | Non-Recursive CTE                                                                                                                                                                                                                       |
| └─Projection_75(Seed Part)          | 464171.83 | root      |                                                                                                                                                             | gharchive_dev.github_events.event_year, gharchive_dev.github_events.actor_login, Column#80, Column#81                                                                                                                                   |
|   └─Shuffle_88                      | 464171.83 | root      |                                                                                                                                                             | execution info: concurrency:5, data sources:[Window_77]                                                                                                                                                                                 |
|     └─Window_76                     | 464171.83 | root      |                                                                                                                                                             | row_number()->Column#81 over(partition by gharchive_dev.github_events.actor_login rows between current row and current row)                                                                                                             |
|       └─Sort_87                     | 464171.83 | root      |                                                                                                                                                             | gharchive_dev.github_events.actor_login                                                                                                                                                                                                 |
|         └─Window_77                 | 464171.83 | root      |                                                                                                                                                             | first_value(gharchive_dev.github_events.repo_name)->Column#80 over(partition by gharchive_dev.github_events.repo_id order by gharchive_dev.github_events.created_at desc range between unbounded preceding and current row)             |
|           └─Sort_86                 | 464171.83 | root      |                                                                                                                                                             | gharchive_dev.github_events.repo_id, gharchive_dev.github_events.created_at:desc                                                                                                                                                        |
|             └─HashJoin_81           | 464171.83 | root      |                                                                                                                                                             | inner join, equal:[eq(gharchive_dev.github_events.number, gharchive_dev.github_events.number)]                                                                                                                                          |
|               ├─Selection_82(Build) | 96.53     | root      |                                                                                                                                                             | not(isnull(gharchive_dev.github_events.number))                                                                                                                                                                                         |
|               │ └─CTEFullScan_83    | 120.66    | root      | CTE:pm                                                                                                                                                      | data:CTE_1                                                                                                                                                                                                                              |
|               └─Selection_84(Probe) | 9404.90   | root      |                                                                                                                                                             | not(isnull(gharchive_dev.github_events.number))                                                                                                                                                                                         |
|                 └─CTEFullScan_85    | 11756.12  | root      | CTE:po                                                                                                                                                      | data:CTE_0                                                                                                                                                                                                                              |
| CTE_1                               | 120.66    | root      |                                                                                                                                                             | Non-Recursive CTE                                                                                                                                                                                                                       |
| └─Projection_61(Seed Part)          | 120.66    | root      |                                                                                                                                                             | gharchive_dev.github_events.number                                                                                                                                                                                                      |
|   └─IndexLookUp_72                  | 120.66    | root      | partition:pull_request_event                                                                                                                                |                                                                                                                                                                                                                                         |
|     ├─Selection_70(Build)           | 3702.13   | cop[tikv] |                                                                                                                                                             | eq(gharchive_dev.github_events.pr_merged, 1)                                                                                                                                                                                            |
|     │ └─IndexRangeScan_68           | 148344.58 | cop[tikv] | table:github_events, index:index_ge_on_repo_id_type_action_pr_merged_created_at_add_del(repo_id, type, action, pr_merged, created_at, additions, deletions) | range:[16563587 "PullRequestEvent",16563587 "PullRequestEvent"], [41986369 "PullRequestEvent",41986369 "PullRequestEvent"], [105944401 "PullRequestEvent",105944401 "PullRequestEvent"], keep order:false                               |
|     └─Selection_71(Probe)           | 120.66    | cop[tikv] |                                                                                                                                                             | eq(gharchive_dev.github_events.state, "closed")                                                                                                                                                                                         |
|       └─TableRowIDScan_69           | 3702.13   | cop[tikv] | table:github_events                                                                                                                                         | keep order:false                                                                                                                                                                                                                        |
| CTE_0                               | 11756.12  | root      |                                                                                                                                                             | Non-Recursive CTE                                                                                                                                                                                                                       |
| └─Projection_38(Seed Part)          | 11756.12  | root      |                                                                                                                                                             | gharchive_dev.github_events.event_year, gharchive_dev.github_events.actor_login, gharchive_dev.github_events.repo_id, gharchive_dev.github_events.repo_name, gharchive_dev.github_events.number, gharchive_dev.github_events.created_at |
|   └─IndexLookUp_52                  | 11756.12  | root      | partition:pull_request_event                                                                                                                                |                                                                                                                                                                                                                                         |
|     ├─IndexRangeScan_49(Build)      | 148344.58 | cop[tikv] | table:github_events, index:index_github_events_on_repo_id_type_action_number_created_at(repo_id, type, action, number, created_at)                          | range:[16563587 "PullRequestEvent",16563587 "PullRequestEvent"], [41986369 "PullRequestEvent",41986369 "PullRequestEvent"], [105944401 "PullRequestEvent",105944401 "PullRequestEvent"], keep order:false                               |
|     └─Selection_51(Probe)           | 11756.12  | cop[tikv] |                                                                                                                                                             | eq(gharchive_dev.github_events.state, "open")                                                                                                                                                                                           |
|       └─TableRowIDScan_50           | 148344.58 | cop[tikv] | table:github_events                                                                                                                                         | keep order:false                                                                                                                                                                                                                        |
+-------------------------------------+-----------+-----------+-------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
