+--------------------------------------------+---------+-----------+--------------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| id                                         | estRows | task      | access object                                                                                                                        | operator info                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
+--------------------------------------------+---------+-----------+--------------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Projection_103                             | 154.26  | root      |                                                                                                                                      | Column#107, any_value(Column#108)->Column#118, Column#111, Column#112, Column#113, Column#114, Column#115, Column#116, Column#117                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| └─TopN_106                                 | 154.26  | root      |                                                                                                                                      | Column#111:desc, offset:200000, count:100000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|   └─HashAgg_111                            | 154.26  | root      |                                                                                                                                      | group by:Column#134, funcs:sum(Column#125)->Column#111, funcs:sum(Column#126)->Column#112, funcs:sum(Column#127)->Column#113, funcs:sum(Column#128)->Column#114, funcs:sum(Column#129)->Column#115, funcs:sum(Column#130)->Column#116, funcs:sum(Column#131)->Column#117, funcs:firstrow(Column#132)->Column#107, funcs:firstrow(Column#133)->Column#108                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|     └─Projection_117                       | 154.26  | root      |                                                                                                                                      | cast(case(eq(Column#109, all), Column#110, 0), decimal(20,0) BINARY)->Column#125, cast(case(eq(Column#109, pushes), Column#110, 0), decimal(20,0) BINARY)->Column#126, cast(case(eq(Column#109, pull_requests), Column#110, 0), decimal(20,0) BINARY)->Column#127, cast(case(eq(Column#109, reviews), Column#110, 0), decimal(20,0) BINARY)->Column#128, cast(case(eq(Column#109, review_comments), Column#110, 0), decimal(20,0) BINARY)->Column#129, cast(case(eq(Column#109, issues), Column#110, 0), decimal(20,0) BINARY)->Column#130, cast(case(eq(Column#109, issue_comments), Column#110, 0), decimal(20,0) BINARY)->Column#131, Column#107, Column#108, Column#107                                                                                                                                    |
|       └─CTEFullScan_112                    | 154.26  | root      | CTE:contributions                                                                                                                    | data:CTE_2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| CTE_2                                      | 154.26  | root      |                                                                                                                                      | Non-Recursive CTE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| └─Selection_96(Seed Part)                  | 154.26  | root      |                                                                                                                                      | 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|   └─HashAgg_97                             | 192.83  | root      |                                                                                                                                      | group by:Column#103, Column#104, Column#105, Column#106, funcs:firstrow(Column#103)->Column#103, funcs:firstrow(Column#104)->Column#104, funcs:firstrow(Column#105)->Column#105, funcs:firstrow(Column#106)->Column#106                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|     └─Union_98                             | 192.83  | root      |                                                                                                                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|       ├─Projection_99                      | 96.42   | root      |                                                                                                                                      | gharchive_dev.github_events.repo_id, Column#96, cast(Column#97, varchar(15) CHARACTER SET utf8mb4 COLLATE utf8mb4_unicode_ci)->Column#105, Column#98                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|       │ └─CTEFullScan_100                  | 96.42   | root      | CTE:ca                                                                                                                               | data:CTE_1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|       └─CTEFullScan_102                    | 96.42   | root      | CTE:cgt                                                                                                                              | data:CTE_0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| CTE_1                                      | 96.42   | root      |                                                                                                                                      | Non-Recursive CTE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| └─Projection_42(Seed Part)                 | 96.42   | root      |                                                                                                                                      | gharchive_dev.github_events.repo_id, Column#87, Column#85, Column#88                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|   └─Selection_43                           | 96.42   | root      |                                                                                                                                      | eq(Column#89, 1)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
|     └─Window_45                            | 120.52  | root      |                                                                                                                                      | row_number()->Column#89 over(partition by gharchive_dev.github_events.repo_id rows between current row and current row)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|       └─Window_46                          | 120.52  | root      |                                                                                                                                      | count(1)->Column#88 over(partition by gharchive_dev.github_events.repo_id)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|         └─Window_48                        | 120.52  | root      |                                                                                                                                      | first_value(gharchive_dev.github_events.repo_name)->Column#87 over(partition by gharchive_dev.github_events.repo_id order by gharchive_dev.github_events.created_at desc range between unbounded preceding and current row)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
|           └─Sort_66                        | 120.52  | root      |                                                                                                                                      | gharchive_dev.github_events.repo_id, gharchive_dev.github_events.created_at:desc                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
|             └─Projection_51                | 120.52  | root      |                                                                                                                                      | gharchive_dev.github_events.repo_id, all->Column#85, gharchive_dev.github_events.repo_name, gharchive_dev.github_events.created_at                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|               └─IndexLookUp_61             | 120.52  | root      | partition:push_event,pull_request_event,issue_comment_event,issues_event,pull_request_review_comment_event,pull_request_review_event |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|                 ├─IndexRangeScan_58(Build) | 403.62  | cop[tikv] | table:ge, index:index_github_events_on_actor_login(actor_login)                                                                      | range:["634750802","634750802"], ["ChenlingLu","ChenlingLu"], ["hooopo","hooopo"], ["Mini256","Mini256"], ["sykp241095","sykp241095"], keep order:false                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|                 └─Selection_60(Probe)      | 120.52  | cop[tikv] |                                                                                                                                      | ge(gharchive_dev.github_events.created_at, 2019-08-29 04:04:49), le(gharchive_dev.github_events.created_at, 2022-08-29 04:04:49), or(or(and(eq(gharchive_dev.github_events.type, "PullRequestEvent"), eq(gharchive_dev.github_events.action, "opened")), or(and(eq(gharchive_dev.github_events.type, "IssuesEvent"), eq(gharchive_dev.github_events.action, "opened")), and(eq(gharchive_dev.github_events.type, "IssueCommentEvent"), eq(gharchive_dev.github_events.action, "created")))), or(and(eq(gharchive_dev.github_events.type, "PullRequestReviewEvent"), eq(gharchive_dev.github_events.action, "created")), or(and(eq(gharchive_dev.github_events.type, "PullRequestReviewCommentEvent"), eq(gharchive_dev.github_events.action, "created")), eq(gharchive_dev.github_events.type, "PushEvent")))) |
|                   └─TableRowIDScan_59      | 403.62  | cop[tikv] | table:ge                                                                                                                             | keep order:false                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| CTE_0                                      | 96.42   | root      |                                                                                                                                      | Non-Recursive CTE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| └─Projection_69(Seed Part)                 | 96.42   | root      |                                                                                                                                      | gharchive_dev.github_events.repo_id, Column#40, Column#38, Column#41                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|   └─Selection_70                           | 96.42   | root      |                                                                                                                                      | eq(Column#42, 1)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
|     └─Window_72                            | 120.52  | root      |                                                                                                                                      | row_number()->Column#42 over(partition by gharchive_dev.github_events.repo_id, gharchive_dev.github_events.type rows between current row and current row)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
|       └─Window_73                          | 120.52  | root      |                                                                                                                                      | count(1)->Column#41 over(partition by gharchive_dev.github_events.repo_id, gharchive_dev.github_events.type)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|         └─Window_75                        | 120.52  | root      |                                                                                                                                      | first_value(gharchive_dev.github_events.repo_name)->Column#40 over(partition by gharchive_dev.github_events.repo_id, gharchive_dev.github_events.type order by gharchive_dev.github_events.created_at desc range between unbounded preceding and current row)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
|           └─Sort_93                        | 120.52  | root      |                                                                                                                                      | gharchive_dev.github_events.repo_id, gharchive_dev.github_events.type, gharchive_dev.github_events.created_at:desc                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|             └─Projection_78                | 120.52  | root      |                                                                                                                                      | gharchive_dev.github_events.repo_id, case(eq(gharchive_dev.github_events.type, IssuesEvent), issues, eq(gharchive_dev.github_events.type, IssueCommentEvent), issue_comments, eq(gharchive_dev.github_events.type, PullRequestEvent), pull_requests, eq(gharchive_dev.github_events.type, PullRequestReviewEvent), reviews, eq(gharchive_dev.github_events.type, PullRequestReviewCommentEvent), review_comments, eq(gharchive_dev.github_events.type, PushEvent), pushes)->Column#38, gharchive_dev.github_events.type, gharchive_dev.github_events.repo_name, gharchive_dev.github_events.created_at                                                                                                                                                                                                         |
|               └─IndexLookUp_88             | 120.52  | root      | partition:push_event,pull_request_event,issue_comment_event,issues_event,pull_request_review_comment_event,pull_request_review_event |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|                 ├─IndexRangeScan_85(Build) | 403.62  | cop[tikv] | table:ge, index:index_github_events_on_actor_login(actor_login)                                                                      | range:["634750802","634750802"], ["ChenlingLu","ChenlingLu"], ["hooopo","hooopo"], ["Mini256","Mini256"], ["sykp241095","sykp241095"], keep order:false                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
