+--------------------------------------------------+---------------+--------------+--------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------+
| id                                               | estRows       | task         | access object                                                | operator info                                                                                                                                     |
+--------------------------------------------------+---------------+--------------+--------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------+
| Projection_15                                    | 10.00         | root         |                                                              | any_value(gharchive_dev.db_repos.name)->Column#40, Column#39                                                                                      |
| └─TopN_19                                        | 10.00         | root         |                                                              | Column#39:desc, offset:0, count:10                                                                                                                |
|   └─TableReader_91                               | 10.00         | root         | table of repo_subset, partition:watch_event of github_events | data:ExchangeSender_90                                                                                                                            |
|     └─ExchangeSender_90                          | 10.00         | mpp[tiflash] |                                                              | ExchangeType: PassThrough                                                                                                                         |
|       └─TopN_89                                  | 10.00         | mpp[tiflash] |                                                              | Column#39:desc, offset:0, count:10                                                                                                                |
|         └─Projection_84                          | 825.74        | mpp[tiflash] |                                                              | Column#39, gharchive_dev.db_repos.name                                                                                                            |
|           └─HashAgg_82                           | 825.74        | mpp[tiflash] |                                                              | group by:gharchive_dev.github_events.repo_id, funcs:count(1)->Column#39, funcs:firstrow(gharchive_dev.db_repos.name)->gharchive_dev.db_repos.name |
|             └─ExchangeReceiver_67                | 825.74        | mpp[tiflash] |                                                              |                                                                                                                                                   |
|               └─ExchangeSender_66                | 825.74        | mpp[tiflash] |                                                              | ExchangeType: HashPartition, Hash Cols: [name: gharchive_dev.github_events.repo_id, collate: binary]                                              |
|                 └─Projection_64                  | 825.74        | mpp[tiflash] |                                                              | gharchive_dev.github_events.repo_id, gharchive_dev.db_repos.name                                                                                  |
|                   └─HashJoin_65                  | 825.74        | mpp[tiflash] |                                                              | inner join, equal:[eq(Column#43, Column#42)]                                                                                                      |
|                     ├─ExchangeReceiver_45(Build) | 46.00         | mpp[tiflash] |                                                              |                                                                                                                                                   |
|                     │ └─ExchangeSender_44        | 46.00         | mpp[tiflash] |                                                              | ExchangeType: Broadcast                                                                                                                           |
|                     │   └─Projection_42          | 46.00         | mpp[tiflash] |                                                              | gharchive_dev.db_repos.name, cast(gharchive_dev.db_repos.id, double BINARY)->Column#43                                                            |
|                     │     └─TableFullScan_43     | 46.00         | mpp[tiflash] | table:repo_subset                                            | keep order:false, stats:pseudo                                                                                                                    |
|                     └─Projection_46(Probe)       | 65026556.82   | mpp[tiflash] |                                                              | gharchive_dev.github_events.repo_id, cast(gharchive_dev.github_events.repo_id, double BINARY)->Column#42                                          |
|                       └─Selection_48             | 65026556.82   | mpp[tiflash] |                                                              | eq(gharchive_dev.github_events.event_year, 2021), eq(gharchive_dev.github_events.type, "WatchEvent")                                              |
|                         └─TableFullScan_47       | 4945099302.00 | mpp[tiflash] | table:github_events                                          | keep order:false, PartitionTableScan:true                                                                                                         |
+--------------------------------------------------+---------------+--------------+--------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------+
