+---------------------------------------------------------+---------+-----------+----------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| id                                                      | estRows | task      | access object                                                                                                                                            | operator info                                                                                                                                                           |
+---------------------------------------------------------+---------+-----------+----------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Projection_25                                           | 0.00    | root      |                                                                                                                                                          | Column#36, Column#65, Column#63, Column#61, Column#59, Column#57, Column#53                                                                                             |
| └─Selection_26                                          | 0.00    | root      |                                                                                                                                                          | eq(Column#52, 1)                                                                                                                                                        |
|   └─Window_27                                           | 0.00    | root      |                                                                                                                                                          | sum(cast(Column#64, decimal(20,0) BINARY))->Column#65 over(partition by Column#36)                                                                                      |
|     └─Projection_28                                     | 0.00    | root      |                                                                                                                                                          | Column#36, Column#52, Column#53, Column#57, Column#59, Column#61, Column#63, case(lt(Column#37, 10), 1, 0)->Column#64                                                   |
|       └─Window_30                                       | 0.00    | root      |                                                                                                                                                          | sum(cast(Column#62, decimal(20,0) BINARY))->Column#63 over(partition by Column#36)                                                                                      |
|         └─Projection_31                                 | 0.00    | root      |                                                                                                                                                          | Column#36, Column#37, Column#52, Column#53, Column#57, Column#59, Column#61, case(and(ge(Column#37, 10), lt(Column#37, 30)), 1, 0)->Column#62                           |
|           └─Window_33                                   | 0.00    | root      |                                                                                                                                                          | sum(cast(Column#60, decimal(20,0) BINARY))->Column#61 over(partition by Column#36)                                                                                      |
|             └─Projection_34                             | 0.00    | root      |                                                                                                                                                          | Column#36, Column#37, Column#52, Column#53, Column#57, Column#59, case(and(ge(Column#37, 30), lt(Column#37, 100)), 1, 0)->Column#60                                     |
|               └─Window_36                               | 0.00    | root      |                                                                                                                                                          | sum(cast(Column#58, decimal(20,0) BINARY))->Column#59 over(partition by Column#36)                                                                                      |
|                 └─Projection_37                         | 0.00    | root      |                                                                                                                                                          | Column#36, Column#37, Column#52, Column#53, Column#57, case(and(ge(Column#37, 100), lt(Column#37, 500)), 1, 0)->Column#58                                               |
|                   └─Window_39                           | 0.00    | root      |                                                                                                                                                          | sum(cast(Column#56, decimal(20,0) BINARY))->Column#57 over(partition by Column#36)                                                                                      |
|                     └─Projection_40                     | 0.00    | root      |                                                                                                                                                          | Column#36, Column#37, Column#52, Column#53, case(and(ge(Column#37, 500), lt(Column#37, 1000)), 1, 0)->Column#56                                                         |
|                       └─Window_42                       | 0.00    | root      |                                                                                                                                                          | sum(cast(Column#54, decimal(20,0) BINARY))->Column#55 over(partition by Column#36)                                                                                      |
|                         └─Projection_43                 | 0.00    | root      |                                                                                                                                                          | Column#36, Column#37, Column#52, Column#53, case(ge(Column#37, 1000), 1, 0)->Column#54                                                                                  |
|                           └─Window_45                   | 0.00    | root      |                                                                                                                                                          | count(1)->Column#53 over(partition by Column#36)                                                                                                                        |
|                             └─Window_46                 | 0.00    | root      |                                                                                                                                                          | row_number()->Column#52 over(partition by Column#36 rows between current row and current row)                                                                           |
|                               └─Sort_55                 | 0.00    | root      |                                                                                                                                                          | Column#36                                                                                                                                                               |
|                                 └─Projection_49         | 0.00    | root      |                                                                                                                                                          | date_format(gharchive_dev.github_events.created_at, %Y-%m-01)->Column#36, plus(gharchive_dev.github_events.additions, gharchive_dev.github_events.deletions)->Column#37 |
|                                   └─IndexReader_54      | 4.95    | root      | partition:pull_request_event                                                                                                                             | index:IndexRangeScan_53                                                                                                                                                 |
|                                     └─IndexRangeScan_53 | 4.95    | cop[tikv] | table:ge, index:index_ge_on_creator_id_type_action_merged_created_at_add_del(creator_user_id, type, action, pr_merged, created_at, additions, deletions) | range:[5086433 "PullRequestEvent" "closed" 1,5086433 "PullRequestEvent" "closed" 1], keep order:false                                                                   |
+---------------------------------------------------------+---------+-----------+----------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
