+--------------------------------------+---------+-----------+------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| id                                   | estRows | task      | access object                                                                                                                      | operator info                                                                                                                                                                                                                                                            |
+--------------------------------------+---------+-----------+------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Projection_44                        | 2138.80 | root      |                                                                                                                                    | gharchive_dev.github_events.event_month, Column#48, Column#51                                                                                                                                                                                                            |
| └─Sort_45                            | 2138.80 | root      |                                                                                                                                    | gharchive_dev.github_events.event_month, Column#48                                                                                                                                                                                                                       |
|   └─Shuffle_50                       | 2138.80 | root      |                                                                                                                                    | execution info: concurrency:5, data sources:[CTEFullScan_48]                                                                                                                                                                                                             |
|     └─Window_47                      | 2138.80 | root      |                                                                                                                                    | sum(cast(Column#49, decimal(20,0) BINARY))->Column#51 over(partition by Column#48 order by gharchive_dev.github_events.event_month range between unbounded preceding and current row)                                                                                    |
|       └─Sort_49                      | 2138.80 | root      |                                                                                                                                    | Column#48, gharchive_dev.github_events.event_month                                                                                                                                                                                                                       |
|         └─CTEFullScan_48             | 2138.80 | root      | CTE:count_per_month                                                                                                                | data:CTE_1                                                                                                                                                                                                                                                               |
| CTE_1                                | 2138.80 | root      |                                                                                                                                    | Non-Recursive CTE                                                                                                                                                                                                                                                        |
| └─Sort_38(Seed Part)                 | 2138.80 | root      |                                                                                                                                    | gharchive_dev.github_events.event_month, Column#45                                                                                                                                                                                                                       |
|   └─Projection_40                    | 2138.80 | root      |                                                                                                                                    | gharchive_dev.github_events.event_month, Column#45, Column#46                                                                                                                                                                                                            |
|     └─HashAgg_41                     | 2138.80 | root      |                                                                                                                                    | group by:Column#45, gharchive_dev.github_events.event_month, funcs:count(distinct gharchive_dev.github_events.number)->Column#46, funcs:firstrow(gharchive_dev.github_events.event_month)->gharchive_dev.github_events.event_month, funcs:firstrow(Column#45)->Column#45 |
|       └─CTEFullScan_42               | 2138.80 | root      | CTE:prs_with_latest_repo_name                                                                                                      | data:CTE_0                                                                                                                                                                                                                                                               |
| CTE_0                                | 2138.80 | root      |                                                                                                                                    | Non-Recursive CTE                                                                                                                                                                                                                                                        |
| └─Projection_19(Seed Part)           | 2138.80 | root      |                                                                                                                                    | gharchive_dev.github_events.event_month, gharchive_dev.github_events.number, gharchive_dev.github_events.repo_id, Column#37                                                                                                                                              |
|   └─Shuffle_37                       | 2138.80 | root      |                                                                                                                                    | execution info: concurrency:5, data sources:[IndexLookUp_32]                                                                                                                                                                                                             |
|     └─Window_20                      | 2138.80 | root      |                                                                                                                                    | first_value(gharchive_dev.github_events.repo_name)->Column#37 over(partition by gharchive_dev.github_events.repo_id order by gharchive_dev.github_events.created_at desc range between unbounded preceding and current row)                                              |
|       └─Sort_36                      | 2673.51 | root      |                                                                                                                                    | gharchive_dev.github_events.repo_id, gharchive_dev.github_events.created_at:desc                                                                                                                                                                                         |
|         └─IndexLookUp_32             | 2673.51 | root      | partition:pull_request_event                                                                                                       |                                                                                                                                                                                                                                                                          |
|           ├─IndexRangeScan_30(Build) | 2673.51 | cop[tikv] | table:github_events, index:index_github_events_on_repo_id_type_action_number_created_at(repo_id, type, action, number, created_at) | range:[41986369 "PullRequestEvent" "opened",41986369 "PullRequestEvent" "opened"], keep order:false                                                                                                                                                                      |
|           └─TableRowIDScan_31(Probe) | 2673.51 | cop[tikv] | table:github_events                                                                                                                | keep order:false                                                                                                                                                                                                                                                         |
+--------------------------------------+---------+-----------+------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
