+--------------------------------+---------------+--------------+------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| id                             | estRows       | task         | access object          | operator info                                                                                                                                                                                                                             |
+--------------------------------+---------------+--------------+------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Sort_95                        | 169.11        | root         |                        | Column#93                                                                                                                                                                                                                                 |
| └─Projection_97                | 169.11        | root         |                        | gharchive_dev.osdb_repos.group_name, Column#93                                                                                                                                                                                            |
|   └─Selection_98               | 169.11        | root         |                        | eq(Column#94, intdiv(Column#95, 2))                                                                                                                                                                                                       |
|     └─CTEFullScan_99           | 211.39        | root         | CTE:trank              | data:CTE_3                                                                                                                                                                                                                                |
| CTE_3                          | 211.39        | root         |                        | Non-Recursive CTE                                                                                                                                                                                                                         |
| └─Selection_86(Seed Part)      | 211.39        | root         |                        | eq(Column#90, intdiv(Column#91, 2))                                                                                                                                                                                                       |
|   └─Window_87                  | 264.24        | root         |                        | count(1)->Column#91 over(partition by gharchive_dev.osdb_repos.group_name)                                                                                                                                                                |
|     └─Window_88                | 264.24        | root         |                        | row_number()->Column#90 over(partition by gharchive_dev.osdb_repos.group_name order by Column#87 rows between current row and current row)                                                                                                |
|       └─Sort_93                | 264.24        | root         |                        | gharchive_dev.osdb_repos.group_name, Column#87                                                                                                                                                                                            |
|         └─Selection_91         | 264.24        | root         |                        | gt(Column#87, 0.1)                                                                                                                                                                                                                        |
|           └─CTEFullScan_92     | 330.30        | root         | CTE:tdiff              | data:CTE_2                                                                                                                                                                                                                                |
| CTE_2                          | 330.30        | root         |                        | Non-Recursive CTE                                                                                                                                                                                                                         |
| └─Projection_77(Seed Part)     | 330.30        | root         |                        | gharchive_dev.osdb_repos.group_name, div(div(div(cast(minus(unix_timestamp(gharchive_dev.github_events.created_at), unix_timestamp(gharchive_dev.github_events.created_at)), decimal(20,0) BINARY), 60), 60), 24)->Column#85              |
|   └─Projection_78              | 330.30        | root         |                        | gharchive_dev.osdb_repos.group_name, gharchive_dev.github_events.created_at, gharchive_dev.github_events.created_at                                                                                                                       |
|     └─HashJoin_79              | 330.30        | root         |                        | inner join, equal:[eq(gharchive_dev.github_events.pr_or_issue_id, gharchive_dev.github_events.pr_or_issue_id)]                                                                                                                            |
|       ├─Selection_83(Build)    | 330.30        | root         |                        | not(isnull(gharchive_dev.github_events.pr_or_issue_id))                                                                                                                                                                                   |
|       │ └─CTEFullScan_84       | 412.87        | root         | CTE:iwo                | data:CTE_1                                                                                                                                                                                                                                |
|       └─Selection_81(Probe)    | 330.30        | root         |                        | not(isnull(gharchive_dev.github_events.pr_or_issue_id))                                                                                                                                                                                   |
|         └─CTEFullScan_82       | 412.87        | root         | CTE:iwc                | data:CTE_0                                                                                                                                                                                                                                |
| CTE_1                          | 412.87        | root         |                        | Non-Recursive CTE                                                                                                                                                                                                                         |
| └─Projection_38(Seed Part)     | 412.87        | root         |                        | gharchive_dev.github_events.pr_or_issue_id, gharchive_dev.osdb_repos.group_name, gharchive_dev.github_events.created_at                                                                                                                   |
|   └─Projection_39              | 412.87        | root         |                        | gharchive_dev.github_events.created_at, gharchive_dev.github_events.pr_or_issue_id, gharchive_dev.osdb_repos.group_name                                                                                                                   |
|     └─HashJoin_41              | 412.87        | root         |                        | inner join, equal:[eq(Column#97, Column#96)]                                                                                                                                                                                              |
|       ├─Projection_42(Build)   | 23.00         | root         |                        | gharchive_dev.osdb_repos.group_name, cast(gharchive_dev.osdb_repos.id, double BINARY)->Column#97                                                                                                                                          |
|       │ └─TableReader_44       | 23.00         | root         |                        | data:TableFullScan_43                                                                                                                                                                                                                     |
|       │   └─TableFullScan_43   | 23.00         | cop[tikv]    | table:db               | keep order:false, stats:pseudo                                                                                                                                                                                                            |
|       └─Projection_45(Probe)   | 7888041.76    | root         |                        | gharchive_dev.github_events.created_at, gharchive_dev.github_events.pr_or_issue_id, cast(gharchive_dev.github_events.repo_id, double BINARY)->Column#96                                                                                   |
|         └─TableReader_51       | 7888041.76    | root         | partition:issues_event | data:Selection_50                                                                                                                                                                                                                         |
|           └─Selection_50       | 7888041.76    | cop[tiflash] |                        | eq(gharchive_dev.github_events.action, "opened"), eq(gharchive_dev.github_events.type, "IssuesEvent"), ne(gharchive_dev.github_events.actor_login, "cockroach-teamcity"), not(like(gharchive_dev.github_events.actor_login, "%bot%", 92)) |
|             └─TableFullScan_49 | 4945099302.00 | cop[tiflash] | table:ge               | keep order:false                                                                                                                                                                                                                          |
| CTE_0                          | 412.87        | root         |                        | Non-Recursive CTE                                                                                                                                                                                                                         |
| └─Projection_61(Seed Part)     | 412.87        | root         |                        | gharchive_dev.github_events.pr_or_issue_id, gharchive_dev.osdb_repos.group_name, gharchive_dev.github_events.created_at                                                                                                                   |
|   └─Projection_62              | 412.87        | root         |                        | gharchive_dev.github_events.created_at, gharchive_dev.github_events.pr_or_issue_id, gharchive_dev.osdb_repos.group_name                                                                                                                   |
|     └─HashJoin_64              | 412.87        | root         |                        | inner join, equal:[eq(Column#102, Column#101)]                                                                                                                                                                                            |
|       ├─Projection_65(Build)   | 23.00         | root         |                        | gharchive_dev.osdb_repos.group_name, cast(gharchive_dev.osdb_repos.id, double BINARY)->Column#102                                                                                                                                         |
|       │ └─TableReader_67       | 23.00         | root         |                        | data:TableFullScan_66                                                                                                                                                                                                                     |
|       │   └─TableFullScan_66   | 23.00         | cop[tikv]    | table:db               | keep order:false, stats:pseudo                                                                                                                                                                                                            |
|       └─Projection_68(Probe)   | 7205819.59    | root         |                        | gharchive_dev.github_events.created_at, gharchive_dev.github_events.pr_or_issue_id, cast(gharchive_dev.github_events.repo_id, double BINARY)->Column#101                                                                                  |
|         └─TableReader_74       | 7205819.59    | root         | partition:issues_event | data:Selection_73                                                                                                                                                                                                                         |
