+----------------------------------------------------+----------+-----------+------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| id                                                 | estRows  | task      | access object                                                                                                                      | operator info                                                                                                                                                                                                                  |
+----------------------------------------------------+----------+-----------+------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Sort_54                                            | 1.00     | root      |                                                                                                                                    | gharchive_dev.github_events.event_month                                                                                                                                                                                        |
| └─Projection_56                                    | 1.00     | root      |                                                                                                                                    | gharchive_dev.github_events.event_month, any_value(Column#50)->Column#52, any_value(Column#51)->Column#53                                                                                                                      |
|   └─HashAgg_57                                     | 1.00     | root      |                                                                                                                                    | group by:gharchive_dev.github_events.event_month, funcs:firstrow(gharchive_dev.github_events.event_month)->gharchive_dev.github_events.event_month, funcs:firstrow(Column#50)->Column#50, funcs:firstrow(Column#51)->Column#51 |
|     └─CTEFullScan_58                               | 22329.64 | root      | CTE:acc                                                                                                                            | data:CTE_0                                                                                                                                                                                                                     |
| CTE_0                                              | 22329.64 | root      |                                                                                                                                    | Non-Recursive CTE                                                                                                                                                                                                              |
| └─Projection_22(Seed Part)                         | 22329.64 | root      |                                                                                                                                    | gharchive_dev.github_events.event_month, Column#38, Column#45                                                                                                                                                                  |
|   └─Sort_23                                        | 22329.64 | root      |                                                                                                                                    | gharchive_dev.github_events.event_month                                                                                                                                                                                        |
|     └─Shuffle_53                                   | 22329.64 | root      |                                                                                                                                    | execution info: concurrency:5, data sources:[Selection_27]                                                                                                                                                                     |
|       └─Window_25                                  | 22329.64 | root      |                                                                                                                                    | count(gharchive_dev.github_events.actor_login)->Column#45 over(partition by Column#38 order by gharchive_dev.github_events.event_month range between unbounded preceding and current row)                                      |
|         └─Sort_52                                  | 22329.64 | root      |                                                                                                                                    | Column#38, gharchive_dev.github_events.event_month                                                                                                                                                                             |
|           └─Selection_27                           | 22329.64 | root      |                                                                                                                                    | eq(Column#39, 1)                                                                                                                                                                                                               |
|             └─Shuffle_51                           | 27912.05 | root      |                                                                                                                                    | execution info: concurrency:5, data sources:[Window_30]                                                                                                                                                                        |
|               └─Window_29                          | 27912.05 | root      |                                                                                                                                    | row_number()->Column#39 over(partition by gharchive_dev.github_events.actor_login rows between current row and current row)                                                                                                    |
|                 └─Sort_50                          | 27912.05 | root      |                                                                                                                                    | gharchive_dev.github_events.actor_login                                                                                                                                                                                        |
|                   └─Window_30                      | 27912.05 | root      |                                                                                                                                    | first_value(gharchive_dev.github_events.repo_name)->Column#38 over(partition by gharchive_dev.github_events.repo_id order by gharchive_dev.github_events.created_at desc range between unbounded preceding and current row)    |
|                     └─Sort_49                      | 49448.19 | root      |                                                                                                                                    | gharchive_dev.github_events.repo_id, gharchive_dev.github_events.created_at:desc                                                                                                                                               |
|                       └─IndexLookUp_42             | 49448.19 | root      | partition:watch_event                                                                                                              |                                                                                                                                                                                                                                |
|                         ├─IndexRangeScan_40(Build) | 49448.19 | cop[tikv] | table:github_events, index:index_github_events_on_repo_id_type_action_number_created_at(repo_id, type, action, number, created_at) | range:[41986369 "WatchEvent",41986369 "WatchEvent"], keep order:false                                                                                                                                                          |
|                         └─TableRowIDScan_41(Probe) | 49448.19 | cop[tikv] | table:github_events                                                                                                                | keep order:false                                                                                                                                                                                                               |
+----------------------------------------------------+----------+-----------+------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
